Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type
"A Study on the Interface of Dashboard Camera Designed for the Elderly";"Advances in Human Factors and Systems Interaction";"";"";"";"10.1007/978-3-319-60366-7_28";"Shu Yao ChangShuo-Fang LiuMing-Chyuan LinMing-Hong Wang";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-60366-7_28";"Chapter"
"Build a Basic Dashboard";"Rapid Graphs with Tableau 8";"";"";"";"10.1007/978-1-4302-6736-2_14";"Stephen McDanielEileen McDaniel PhD";"2013";"http://link.springer.com/chapter/10.1007/978-1-4302-6736-2_14";"Chapter"
"Creating a Dashboard";"Jumpstart Tableau";"";"";"";"10.1007/978-1-4842-1934-8_37";"Arshad Khan";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-1934-8_37";"Chapter"
"Towards Public Health Dashboard Design Guidelines";"HCI in Business";"";"";"";"10.1007/978-3-319-07293-7_5";"Bettina LechnerAnn Fruhling";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-07293-7_5";"Chapter"
"Enhancing Dashboards";"Pro Power BI Desktop";"";"";"";"10.1007/978-1-4842-1805-1_15";"Adam Aspin";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-1805-1_15";"Chapter"
"Information architecture for a patient-specific dashboard in head and neck tumor boards";"International Journal of Computer Assisted Radiology and Surgery";"";"13";"8";"10.1007/s11548-018-1741-7";"Alexander OeserJan GaebelAndreas DietzSusanne WiegandSteffen Oeltze-Jafra";"2018";"http://link.springer.com/article/10.1007/s11548-018-1741-7";"Article"
"A Goal-Oriented Framework for Analyzing and Modeling City Dashboards in Smart Cities";"Smart and Sustainable Planning for Cities and Regions";"";"";"";"10.1007/978-3-319-75774-2_13";"Katiuscia MannaroGavina BarallaChiara Garau";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-75774-2_13";"Chapter"
"Effects of a Dashboard for an Intelligent Tutoring System on Teacher Knowledge, Lesson Plans and Class Sessions";"Artificial Intelligence in Education";"";"";"";"10.1007/978-3-319-61425-0_69";"Françeska XhakajVincent AlevenBruce M. McLaren";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-61425-0_69";"Chapter"
"Using Mission Control, Spaces, Exposé, and Dashboard";"Taking Your OS X Lion to the Max";"";"";"";"10.1007/978-1-4302-3669-6_6";"Michael GrothausSteve SandeDave Caolo";"2011";"http://link.springer.com/chapter/10.1007/978-1-4302-3669-6_6";"Chapter"
"Dashboard and Report Sharing";"Pro Power BI Architecture";"";"";"";"10.1007/978-1-4842-4015-1_9";"Reza Rad";"2018";"http://link.springer.com/chapter/10.1007/978-1-4842-4015-1_9";"Chapter"
"Stop Your Dashboard Navigator from Driving You to Distraction";"Anthropology-Based Computing";"";"";"";"10.1007/978-3-319-24421-1_19";"John N. A. Brown";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-24421-1_19";"Chapter"
"The Design and Evaluation of Intelligent Energy Dashboard for Sustainability in the Workplace";"Design, User Experience, and Usability. User Experience Design for Everyday Life Applications and Services";"";"";"";"10.1007/978-3-319-07635-5_58";"Ray YunAzizan AzizBertrand LasternasChenlu ZhangVivian LoftnessPeter ScupelliYunjeong MoJie ZhaoNana Wilberforce";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-07635-5_58";"Chapter"
"Carrying Capacity Dashboard Analyses—Australian Case Studies of Populations Scaled to Place";"Urban Environment";"";"";"";"10.1007/978-94-007-7756-9_3";"Murray LaneLes Dawes";"2013";"http://link.springer.com/chapter/10.1007/978-94-007-7756-9_3";"Chapter"
"OpenStack Dashboard";"Certified OpenStack Administrator Study Guide";"";"";"";"10.1007/978-1-4842-2125-9_7";"Andrey Markelov";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-2125-9_7";"Chapter"
"How to Help Teachers Adapt to Learners? Teachers’ Perspective on a Competency and Error-Type Centered Dashboard";"Lifelong Technology-Enhanced Learning";"";"";"";"10.1007/978-3-319-98572-5_53";"Iryna NikolayevaBruno MartinAmel YessadFrançoise ChenevototJulia PiletDominique PrévitBrigitte Grugeon-AllysVanda Luengo";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-98572-5_53";"Chapter"
"Dashboards";"Mastering Social Media Analytics";"";"";"";"10.1007/978-1-4842-4275-9_5";"Alex Gonçalves";"2019";"http://link.springer.com/video/segment/10.1007/978-1-4842-4275-9_5";"Video/Segment"
"Dashboard";"Getting StartED with Mac OS X Leopard";"";"";"";"10.1007/978-1-4302-0519-7_6";"";"2007";"http://link.springer.com/chapter/10.1007/978-1-4302-0519-7_6";"Chapter"
"Dashboard for Actionable Feedback on Learning Skills: Scalability and Usefulness";"Learning and Collaboration Technologies. Technology in Education";"";"";"";"10.1007/978-3-319-58515-4_18";"Tom BroosLaurie PeetersKatrien VerbertCarolien Van SoomGreet LangieTinne De Laet";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-58515-4_18";"Chapter"
"Cascading Worksheet Changes in a Dashboard";"Jumpstart Tableau";"";"";"";"10.1007/978-1-4842-1934-8_39";"Arshad Khan";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-1934-8_39";"Chapter"
"Navigation Support in Evolving Open-Source Communities by a Web-Based Dashboard";"Open Source Software: Mobile Open Source Technologies";"";"";"";"10.1007/978-3-642-55128-4_2";"Anna HannemannKristjan LiivaRalf Klamma";"2014";"http://link.springer.com/chapter/10.1007/978-3-642-55128-4_2";"Chapter"
"Dashboard Quick Filters";"Jumpstart Tableau";"";"";"";"10.1007/978-1-4842-1934-8_38";"Arshad Khan";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-1934-8_38";"Chapter"
"Low-Investment, Realistic-Return Business Cases for Learning Analytics Dashboards: Leveraging Usage Data and Microinteractions";"Lifelong Technology-Enhanced Learning";"";"";"";"10.1007/978-3-319-98572-5_30";"Tom BroosKatrien VerbertGreet LangieCarolien Van SoomTinne De Laet";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-98572-5_30";"Chapter"
"Publishing Reports and Creating Dashboards in the Power BI Portal";"Beginning Power BI";"";"";"";"10.1007/978-1-4842-2577-6_11";"Dan Clark";"2017";"http://link.springer.com/chapter/10.1007/978-1-4842-2577-6_11";"Chapter"
"Pixel-Based Analysis of Information Dashboard Attributes";"New Trends in Databases and Information Systems";"";"";"";"10.1007/978-3-319-44066-8_3";"Jiří HynekTomáš Hruška";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-44066-8_3";"Chapter"
"A Knowledge-Based Digital Dashboard for Higher Learning Institutions";"Machine Learning and Knowledge Discovery in Databases";"";"";"";"10.1007/978-3-540-87481-2_47";"Wan Maseri Binti Wan MohdAbdullah EmbongJasni Mohd Zain";"2008";"http://link.springer.com/chapter/10.1007/978-3-540-87481-2_47";"Chapter"
"A semantic proteomics dashboard (SemPoD) for data management in translational research";"BMC Systems Biology";"";"6";"3";"10.1186/1752-0509-6-S3-S20";"Catherine P JayapandianMeng ZhaoRob M EwingGuo-Qiang ZhangSatya S Sahoo";"2012";"http://link.springer.com/article/10.1186/1752-0509-6-S3-S20";"Article"
"Dashboard Design Factors on Emotional Change: How Separation between Center-Fascia and Center-Console, Button Orientation and Button Arrangement Influence Emotion";"HCI International 2014 - Posters’ Extended Abstracts";"";"";"";"10.1007/978-3-319-07857-1_17";"Joongyeon KimKwanghee Han";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-07857-1_17";"Chapter"
"UbiSOA Dashboard: Integrating the Physical and Digital Domains through Mashups";"Human Interface and the Management of Information. Designing Information Environments";"";"";"";"10.1007/978-3-642-02556-3_53";"Edgardo Avilés-LópezJ. Antonio García-Macías";"2009";"http://link.springer.com/chapter/10.1007/978-3-642-02556-3_53";"Chapter"
"How Teachers Use Data to Help Students Learn: Contextual Inquiry for the Design of a Dashboard";"Adaptive and Adaptable Learning";"";"";"";"10.1007/978-3-319-45153-4_26";"Françeska XhakajVincent AlevenBruce M. McLaren";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-45153-4_26";"Chapter"
"Use of Dashboards and Visualization Techniques to Support Teacher Decision Making";"Ubiquitous Learning Environments and Technologies";"";"";"";"10.1007/978-3-662-44659-1_10";"Alex MottusKinshukSabine GrafNian-Shing Chen";"2015";"http://link.springer.com/chapter/10.1007/978-3-662-44659-1_10";"Chapter"
"VisCa: A Dashboard System to Visualize Learning Activities from E-learning Platforms";"Emerging Technologies for Education";"";"";"";"10.1007/978-3-319-52836-6_44";"Chan-Hsien LinShih-Shin HuHorng-Yih LaiChieh-Feng ChiangHsiao-Chien TsengYuan-Che Cheng";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-52836-6_44";"Chapter"
"Developing Practical Decision Support Tools Using Dashboards of Information";"Handbook on Decision Support Systems 2";"";"";"";"10.1007/978-3-540-48716-6_8";"Frédéric AdamJean-Charles Pomerol";"2008";"http://link.springer.com/chapter/10.1007/978-3-540-48716-6_8";"Chapter"
"City Dashboards and the Achilles’ Heel of Smart Cities: Putting Governance in Action and in Space";"Computational Science and Its Applications – ICCSA 2018";"";"";"";"10.1007/978-3-319-95168-3_44";"Ginevra BallettoGiuseppe BorrusoCarlo Donato";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-95168-3_44";"Chapter"
"Information Needs Assessment for a Medicine Ward-Focused Rounding Dashboard";"Journal of Medical Systems";"";"40";"8";"10.1007/s10916-016-0542-1";"Christopher A. AakreRajeev ChaudhryBrian W. PickeringVitaly Herasevich";"2016";"http://link.springer.com/article/10.1007/s10916-016-0542-1";"Article"
"City Dashboards: The Case of Trieste";"Computational Science and Its Applications – ICCSA 2017";"";"";"";"10.1007/978-3-319-62401-3_52";"Oscar Brunetto";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-62401-3_52";"Chapter"
"A mixed methods evaluation of the maternal-newborn dashboard in Ontario: dashboard attributes, contextual factors, and facilitators and barriers to use: a study protocol";"Implementation Science";"";"11";"1";"10.1186/s13012-016-0427-1";"Sandra DunnAnn E. SpragueJeremy M. GrimshawIan D. GrahamMonica TaljaardDeshayne FellWendy E. PetersonElizabeth DarlingJoAnn HarroldGraeme N. SmithJessica ReszelAndrea LanesCarolyn TruskoskiJodi WildingDeborah WeissMark Walker";"2016";"http://link.springer.com/article/10.1186/s13012-016-0427-1";"Article"
"Driving with Roadmaps and Dashboards: Using Information Resources to Structure the Decision Models in Service Organizations";"Administration and Policy in Mental Health and Mental Health Services Research";"";"35";"1 - 2";"10.1007/s10488-007-0151-x";"Bruce F. ChorpitaAdam BernsteinEric L. Daleiden";"2008";"http://link.springer.com/article/10.1007/s10488-007-0151-x";"Article"
"Algorithms, Dashboards and Datafication: A Critical Evaluation of Social Media Monitoring";"Technologies of Labour and the Politics of Contradiction";"";"";"";"10.1007/978-3-319-76279-1_5";"Ivo Furman";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-76279-1_5";"Chapter"
"Interactive Tweaking of Text Analytics Dashboards";"Databases in Networked Information Systems";"";"";"";"10.1007/978-3-319-16313-0_9";"Arnab NandiZiqi HuangMan CaoMicha ElsnerLilong JiangSrinivasan ParthasarathyRamiya Venkatachalam";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-16313-0_9";"Chapter"
"Proposal of a Bootcamp’s User Activity Dashboard Based on MAS";"Agents and Multi-Agent Systems: Technologies and Applications 2018";"";"";"";"10.1007/978-3-319-92031-3_22";"Lenin G. Lemus-ZúñigaValeria Alexandra Haro ValleJosé-V. Benlloch-DualdeEdgar Lorenzo-SáezMiguel A. Mateo PlaJorge Maldonado-Mahauad";"2019";"http://link.springer.com/chapter/10.1007/978-3-319-92031-3_22";"Chapter"
"Creating Instructor Dashboards to Foster Collaborative Learning in On-Line Medical Problem-Based Learning Situations";"Learning and Collaboration Technologies";"";"";"";"10.1007/978-3-319-39483-1_4";"Maedeh Assadat KazemitabarStephen BodnarPeter HogaboamYuxin ChenJuan Pablo SarmientoSusanne P. LajoieCindy Hmelo-SilverRicki GoldmanJeffrey WisemanLapki Chan";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-39483-1_4";"Chapter"
"Fostering Active Participation of Young People in Democratic Life: A Case Study Using the #ask Dashboard";"E-Democracy – Privacy-Preserving, Secure, Intelligent E-Government Services";"";"";"";"10.1007/978-3-319-71117-1_12";"Areti KaramanouEleni PanopoulouVibor CipanDarko ČengijaDavid JelićEfthimios TambourisKonstantinos Tarabanis";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-71117-1_12";"Chapter"
"Aggregation of Developed Indicants to MEXC Dashboard";"An Investor’s Perspective on Marketing Excellence";"";"";"";"10.1007/978-3-658-24704-1_5";"Dominik Kemsa";"2019";"http://link.springer.com/chapter/10.1007/978-3-658-24704-1_5";"Chapter"
"Auch morgen noch erfolgreich sein – mit dem Customer Dashboard die eigene Leistungsfähigkeit für alle Kunden einheitlich und transparent messbar machen";"Kundenzufriedenheit im IT-Outsourcing";"";"";"";"10.1007/978-3-658-04749-8_9";"Philipp Steffen";"2014";"http://link.springer.com/chapter/10.1007/978-3-658-04749-8_9";"Chapter"
"Fostering medical students’ lifelong learning skills with a dashboard, coaching and learning planning";"Perspectives on Medical Education";"";"7";"5";"10.1007/s40037-018-0449-2";"Karen E. HauerNicholas IversonAlekist QuachPatrick YuanStephanie KanerChristy Boscardin";"2018";"http://link.springer.com/article/10.1007/s40037-018-0449-2";"Article"
"Creating a Surgical Dashboard for Quality";"The SAGES Manual of Quality, Outcomes and Patient Safety";"";"";"";"10.1007/978-1-4419-7901-8_3";"Tim Plerhoples MD, MPHJohn Morton MD, MPH, FACS";"2012";"http://link.springer.com/chapter/10.1007/978-1-4419-7901-8_3";"Chapter"
"Avaya Interactive Dashboard (AID): An Interactive Tool for Mining the Avaya Problem Ticket Database";"Natural Language Processing and Information Systems";"";"";"";"10.1007/978-3-540-27779-8_10";"Ziyang WangAmit Bagga";"2004";"http://link.springer.com/chapter/10.1007/978-3-540-27779-8_10";"Chapter"
"An Interactive Teacher’s Dashboard for Monitoring Groups in a Multi-tabletop Learning Environment";"Intelligent Tutoring Systems";"";"";"";"10.1007/978-3-642-30950-2_62";"Roberto Martinez MaldonadoJudy KayKalina YacefBeat Schwendimann";"2012";"http://link.springer.com/chapter/10.1007/978-3-642-30950-2_62";"Chapter"
"The design, development, and implementation of student-facing learning analytics dashboards";"Journal of Computing in Higher Education";"";"30";"3";"10.1007/s12528-018-9186-0";"Robert BodilyTarah K. IkahihifoBenjamin MackleyCharles R. Graham";"2018";"http://link.springer.com/article/10.1007/s12528-018-9186-0";"Article"
"Measuring the Cognitive Demands of In-vehicle Dashboard and Centre Console Tasks";"Advances in Human Aspects of Transportation";"";"";"";"10.1007/978-3-319-60441-1_50";"Madeleine ConaghanIan ColwillEdward EltonPeriklis CharchalakisElias Stipidis";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-60441-1_50";"Chapter"
"Executive Dashboard";"Cloud Computing Using Oracle Application Express";"";"";"";"10.1007/978-1-4842-4243-8_29";"Riaz Ahmed";"2019";"http://link.springer.com/chapter/10.1007/978-1-4842-4243-8_29";"Chapter"
"Dashboards and Indicators for a BI Healthcare System";"Recent Advances in Information Systems and Technologies";"";"";"";"10.1007/978-3-319-56535-4_8";"Sónia RochaJorge BernardinoIsabel PedrosaIlda Ferreira";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-56535-4_8";"Chapter"
"Proposal for a Performance Dashboard for the Monitoring of Water and Sewage Service Companies (WaSCs)";"Water Resources Management";"";"26";"1";"10.1007/s11269-011-9901-3";"Fiorenzo FranceschiniElisa Turina";"2012";"http://link.springer.com/article/10.1007/s11269-011-9901-3";"Article"
"Dashboards 2.0";"Innovation with Information Technologies in Healthcare";"";"";"";"10.1007/978-1-4471-4327-7_18";"George Reynolds M.D., MMM, FAAP, CPHIMS";"2013";"http://link.springer.com/chapter/10.1007/978-1-4471-4327-7_18";"Chapter"
"Development and initial evaluation of a treatment decision dashboard";"BMC Medical Informatics and Decision Making";"";"13";"1";"10.1186/1472-6947-13-51";"James G DolanPeter J VeazieAnn J Russ";"2013";"http://link.springer.com/article/10.1186/1472-6947-13-51";"Article"
"Die Zukunft von Feedback in Unternehmen – zwischen mobilen Apps und Echtzeit-Dashboards?";"Feedbackinstrumente im Unternehmen";"";"";"";"10.1007/978-3-658-20759-5_11";"Simon WertherRalph Woschée";"2018";"http://link.springer.com/chapter/10.1007/978-3-658-20759-5_11";"Chapter"
"Using Spotlight, Exposé, Spaces, and Dashboard";"Learn Mac OS X Snow Leopard";"";"";"";"10.1007/978-1-4302-1947-7_3";"Scott MeyersMike Lee";"2009";"http://link.springer.com/chapter/10.1007/978-1-4302-1947-7_3";"Chapter"
"Identifying known unknowns using the US EPA’s CompTox Chemistry Dashboard";"Analytical and Bioanalytical Chemistry";"";"409";"7";"10.1007/s00216-016-0139-z";"Andrew D. McEachranJon R. SobusAntony J. Williams";"2017";"http://link.springer.com/article/10.1007/s00216-016-0139-z";"Article"
"Using Spotlight, Exposé, Spaces, and Dashboard";"Mac OS X Leopard";"";"";"";"10.1007/978-1-4302-0255-4_3";"";"2008";"http://link.springer.com/chapter/10.1007/978-1-4302-0255-4_3";"Chapter"
"Process Monitoring in Intervention Research: A ‘Dashboard’ with Six Dimensions";"Salutogenic organizations and change";"";"";"";"10.1007/978-94-007-6470-5_14";"Raymond Randall";"2013";"http://link.springer.com/chapter/10.1007/978-94-007-6470-5_14";"Chapter"
"Environmental Dashboards: Fostering Pro-environmental and Pro-community Thought and Action Through Feedback";"Handbook of Theory and Practice of Sustainable Development in Higher Education";"";"";"";"10.1007/978-3-319-47895-1_10";"John E. PetersenDaniel Rosenberg DaneriCindy FrantzMd Rumi Shammin";"2017";"http://link.springer.com/chapter/10.1007/978-3-319-47895-1_10";"Chapter"
"Balanced Scorecard Quality Information Dashboards Model for Competitive Business Advantage";"Advances in Intelligent Informatics, Smart Technology and Natural Language Processing";"";"";"";"10.1007/978-3-319-94703-7_15";"Wiwit SuksangaramKritchana WongratSopaporn Klamsakul";"2019";"http://link.springer.com/chapter/10.1007/978-3-319-94703-7_15";"Chapter"
"A Framework of Dashboard System for Higher Education Using Graph-Based Visualization Technique";"Networked Digital Technologies";"";"";"";"10.1007/978-3-642-14292-5_7";"Wan Maseri Binti Wan MohdAbdullah EmbongJasni Mohd Zain";"2010";"http://link.springer.com/chapter/10.1007/978-3-642-14292-5_7";"Chapter"
"Development of Real Time Helmet based Authentication with Smart Dashboard for Two Wheelers";"Intelligent Systems Technologies and Applications 2016";"";"";"";"10.1007/978-3-319-47952-1_79";"Ashish Kumar PardeshiHitesh PahujaBalwinder Singh";"2016";"http://link.springer.com/chapter/10.1007/978-3-319-47952-1_79";"Chapter"
"Open-Source, Web-Based Dashboard Components for DICOM Connectivity";"Journal of Digital Imaging";"";"29";"4";"10.1007/s10278-016-9866-0";"Catalina BustamanteJulian PinedaSimon RascovskyAndres Arango";"2016";"http://link.springer.com/article/10.1007/s10278-016-9866-0";"Article"
"An Interactive Gantt Chart Dashboard, Data Visualization";"Dashboards for Excel";"";"";"";"10.1007/978-1-4302-4945-0_14";"Jordan GoldmeierPurnachandra Duggirala";"2015";"http://link.springer.com/chapter/10.1007/978-1-4302-4945-0_14";"Chapter"
"PathBot: A Radiology-Pathology Correlation Dashboard";"Journal of Digital Imaging";"";"30";"6";"10.1007/s10278-017-9969-2";"Linda C. KelahanAmit D. KalariaRoss W. Filice";"2017";"http://link.springer.com/article/10.1007/s10278-017-9969-2";"Article"
"Application of Dashboards and Scorecards for Learning Models IT Risk Management: A User Experience";"Design, User Experience, and Usability: Interactive Experience Design";"";"";"";"10.1007/978-3-319-20889-3_15";"Ernesto Celi";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-20889-3_15";"Chapter"
"Effect of a Real-Time Electronic Dashboard on a Rapid Response System";"Journal of Medical Systems";"";"42";"1";"10.1007/s10916-017-0858-5";"Grant S. FletcherBarry A. AaronsonAndrew A. WhiteReena Julka";"2017";"http://link.springer.com/article/10.1007/s10916-017-0858-5";"Article"
"Interactive dashboards for vaccine benefit-risk assessment";"Reactions Weekly";"";"1696";"1";"10.1007/s40278-018-44196-6";"";"2018";"http://link.springer.com/article/10.1007/s40278-018-44196-6";"Article"
"Process based quality improvement using a continuous renal replacement therapy dashboard";"BMC Nephrology";"";"20";"1";"10.1186/s12882-018-1195-8";"Theresa A. MottesStuart L. GoldsteinRajit K. Basu";"2019";"http://link.springer.com/article/10.1186/s12882-018-1195-8";"Article"
"Maintaining Quality Control Using a Radiological Digital X-ray Dashboard";"Journal of Digital Imaging";"";"22";"1";"10.1007/s10278-007-9098-4";"Todd R. MinnighJacqueline Gallet";"2009";"http://link.springer.com/article/10.1007/s10278-007-9098-4";"Article"
"Shiny Dashboard Sampler";"Advanced R";"";"";"";"10.1007/978-1-4842-2077-1_14";"Matt WileyJoshua F. Wiley";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-2077-1_14";"Chapter"
"Application of the Dashboard for Risk Management: The Case Study of Two Buildings of Worship";"Risk Management in Architectural Design";"";"";"";"10.1007/978-3-319-07449-8_6";"Claudio Martani";"2015";"http://link.springer.com/chapter/10.1007/978-3-319-07449-8_6";"Chapter"
"SLAM Map Application for Tracking Lights on Car Dashboards";"Augmented and Virtual Reality";"";"";"";"10.1007/978-3-319-13969-2_31";"Francesco CarotenutoUgo ErraVittorio Scarano";"2014";"http://link.springer.com/chapter/10.1007/978-3-319-13969-2_31";"Chapter"
"Creating Interactive Dashboards with Power View";"Beginning Power BI with Excel 2013";"";"";"";"10.1007/978-1-4302-6446-0_10";"Dan Clark";"2014";"http://link.springer.com/chapter/10.1007/978-1-4302-6446-0_10";"Chapter"
"Mit Dashboards navigieren";"Controlling & Management Review";"";"59";"3";"10.1007/s12176-015-0620-0";"Andreas Schlüter";"2015";"http://link.springer.com/article/10.1007/s12176-015-0620-0";"Article"
"Mit Dashboards navigieren";"Controlling & Management Review Sonderheft 3-2015";"";"";"";"10.1007/978-3-658-12108-2_4";"Andreas Schlüter";"2016";"http://link.springer.com/chapter/10.1007/978-3-658-12108-2_4";"Chapter"
"ICUs: from performance appraisal to executive dashboard?";"Intensive Care Medicine";"";"33";"8";"10.1007/s00134-007-0697-9";"Corinne AlbertiIsabelle Durand-Zaleski";"2007";"http://link.springer.com/article/10.1007/s00134-007-0697-9";"Article"
"Design, Develop, and Deploy a Wellness Index Dashboard Utilizing Commonly Available Sensors in the Form of Wearable Technology to Monitor Heterogeneous Data";"Proceedings of SAI Intelligent Systems Conference (IntelliSys) 2016";"";"";"";"10.1007/978-3-319-56991-8_61";"Vinayak TanksaleRobert YadonJoe Perkins";"2018";"http://link.springer.com/chapter/10.1007/978-3-319-56991-8_61";"Chapter"
"Dashboards im Gesundheitswesen – Integrierende Analyseinstrumente für das Krankenhaus-Controlling";"Controlling & Management";"";"55";"4";"10.1007/s12176-011-0068-9";"Jun.-Prof. Dr. Maik LachmannFelix Wenger";"2011";"http://link.springer.com/article/10.1007/s12176-011-0068-9";"Article"
"Creating Test Data with CloudKit Dashboard";"OS X App Development with CloudKit and Swift";"";"";"";"10.1007/978-1-4842-1880-8_5";"Bruce Wade";"2016";"http://link.springer.com/chapter/10.1007/978-1-4842-1880-8_5";"Chapter"
"The Extended Desktop: Mission Control, Spaces, and Dashboard";"Learn OS X Lion";"";"";"";"10.1007/978-1-4302-3763-1_4";"Scott MayersMike Lee";"2011";"http://link.springer.com/chapter/10.1007/978-1-4302-3763-1_4";"Chapter"
"Efficient optimization of a noise transfer function by modification of a shell structure geometry – Part II: Application to a vehicle dashboard";"Structural and Multidisciplinary Optimization";"";"24";"1";"10.1007/s00158-002-0214-2";"S. MarburgH.-J. Hardtke";"2002";"http://link.springer.com/article/10.1007/s00158-002-0214-2";"Article"
"Developing a dashboard to help measure and achieve the triple aim: a population-based cohort study";"BMC Health Services Research";"";"14";"1";"10.1186/1472-6963-14-363";"Hsien-Yeang SeowLyn M Sibley";"2014";"http://link.springer.com/article/10.1186/1472-6963-14-363";"Article"
