Document Title;Authors;Author Affiliations;Publication Title;Date Added To Xplore;Publication Year;Volume;Issue;Start Page;End Page;Abstract;ISSN;ISBNs;DOI;Funding Information;PDF Link;Author Keywords;IEEE Terms;INSPEC Controlled Terms;INSPEC Non-Controlled Terms;Mesh_Terms;Article Citation Count;Patent Citation Count;Reference Count;License;Online Date;Issue Date;Meeting Date;Publisher;Document Identifier;;;;;;;;;;;
A New Dashboard Tool to Enhance Data Processing and Energy Efficiency Analysis in Modern Buildings;"A. Sharp; D. Ojeda; V. Nilsen";"The George Washington University;Department of Engineering Management and Systems Engineering;Washington DC;USA; The George Washington University;Department of Engineering Management and Systems Engineering;Washington DC;USA; The George Washington University;Department of Engineering Management and Systems Engineering;Washington DC;USA";2020 Systems and Information Engineering Design Symposium (SIEDS);2-jun-20;2020;;;1;6;"In many buildings; energy tracking methods provide inadequate information regarding energy consumption; impeding the identification of economic and environmental waste in building operations and maintenance. M.C. Dean; an electrical design-build firm; recognized the importance of effective energy tracking methods in the large; complex buildings that it manages. Energy guidelines; such as Leadership in Energy and Environmental Design (LEED); are implemented to increase energy efficiency. Acquiring a LEED certification provides building owners with incentives; but it requires an in-depth documentation and understanding of energy usage prior to certification. Previously; M.C. Dean manually calculated average energy usage and created control charts that summarized annual statistics of their buildings. This method is sufficient for a single site but is an inefficient practice when applied manually across multiple sites. This project performed a requirements elicitation to determine the critical criteria for analyzing energy usage for M.C. Dean's buildings. The results were used to develop a standardized Excel-based dashboard tool that instructs the user on importing and modifying raw energy data. Once the data is imported; the dashboard tool automatically tests for normality via probability plots and generates 3-sigma control charts. By automating this process; the dashboard tool enabled the user to gain detailed understanding of the energy usage of their site. Areas of potential improvement were identified through the implementation of three additional methods: analytic hierarchy process; cost simulation; and cost-benefit analysis. The manager's preferences and energy guidelines generated a ranking of building usage factors; which can guide decisions on repurposing certain building elements. A Monte Carlo simulation was performed using parametric distribution analysis to predict future costs. Additionally; the dashboard increases awareness of energy usage by linking energy performance to the LEED Operations and Maintenance version 4.1 guidelines to estimate the current certification level and highlight areas for improvement. This research produced an energy performance tool that can be standardized to other complex buildings. It provides efficient energy tracking using standardized methods; allowing building owners to objectively assess the potential adoption of economical and sustainable practices.";;978-1-7281-7145-6;10.1109/SIEDS49339.2020.9106664;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9106664;"statistical modeling;process improvement;information systems";;"analytic hierarchy process;building management systems;buildings (structures);control charts;cost-benefit analysis;energy conservation;energy consumption;Monte Carlo methods;probability";"standardized Excel-based dashboard tool;energy guidelines;building elements;energy performance tool;energy efficiency analysis;energy tracking methods;energy consumption;building operations;electrical design-build firm;LEED certification;requirements elicitation;probability plots;3-sigma control charts;analytic hierarchy process;Monte Carlo simulation;parametric distribution analysis";;;;5;;2-jun-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Differentiated Teaching With Adaptive Learning Systems and Teacher Dashboards: The Teacher Still Matters Most;"T. Keuning; M. van Geel";"Department of Teacher Development; University of Twente; Enschede; The Netherlands; Department of Teacher Development; University of Twente; Enschede; The Netherlands";IEEE Transactions on Learning Technologies;8-jun-21;2021;14;2;201;210;"Although many schools in the Netherlands have purchased adaptive learning systems (ALSs) to reduce workload and improve differentiated instruction; the use of ALSs with teacher dashboards in the classroom does not in itself necessarily improve differentiated instruction. The question is; what skills and knowledge do teachers need to provide differentiated instruction with the help of ALSs with teacher dashboards and how does this differ from a context in which such technologies are not used? By means of a cognitive task analysis; consisting of classroom observations; interviews; and several expert meetings; teachers' skills; and knowledge necessary for providing differentiated instruction when using teacher dashboards and ALSs were disentangled. These findings were compared with the skills and knowledge needed by teachers providing differentiated instruction without these tools. Results show that teachers' dashboards can support teachers when providing differentiated instruction by providing up-to-date information about students' progress. Nevertheless; coping with the new information provided on the dashboards also requires new skills and knowledge such as interpreting information from the dashboard and understanding how the information in the ALS is calculated. Although there are some differences; the core principles of differentiated instruction-being goal-oriented; continually monitoring; adapting instruction and assignments; being ambitious; stimulating students' self-regulation-are critical for high-quality differentiated instruction regardless of the available tools in the classroom.";1939-1382;;10.1109/TLT.2021.3072143;"Netherlands Initiative for Education Research(grant numbers:405-15-733); Dutch Inspectorate of Education; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9399835;"Adaptive learning systems (ALSs);cognitive task analysis;differentiated instruction;teacher dashboard;technology-enhanced learning";"Tools;Task analysis;Software;Monitoring;Training;Interviews;Real-time systems";"cognition;computer aided instruction;teaching";"differentiated teaching;adaptive learning systems;teacher dashboards;ALS;high-quality differentiated instruction;Netherlands;workload reduction;cognitive task analysis;teacher skills;student progress;student self-regulation";;;;19;IEEE;9 Apr 2021;;;IEEE;IEEE Journals;;;;;;;;;;;
Developing Distance Learning Monitoring Dashboard with Google Sheet: An Approach for Flexible and Low-Price Solution in Pandemic Era;"A. Rahmah; P. Sukmasetya; M. Syaiful Romadhon; A. Rio Adriansyah";"STT Terpadu Nurul Fikri;Department of Information System;Depok;Indonesia; Universitas Muhammadiyah Magelang;Department of Informatics Engineering;Magelang;Indonesia; STT Terpadu Nurul Fikri;Department of Information System;Depok;Indonesia; STT Terpadu Nurul Fikri;Department of Informatics;Depok;Indonesia";2020 International Conference on ICT for Smart Society (ICISS);4 Jan 2021;2020;CFP2013V-ART;;1;6;"The Covid-19 pandemic has prompted many colleges and students to conduct distance learning (PJJ); unprepared. Thus; it is necessary to carry out continuous evaluation and improvement in a faster period; monthly or weekly. Therefore; an approach is needed to help the campus stay on track; and still maintain the quality of learning. It is performance monitoring. However; building a monitoring dashboard requires many resources. This study proposes a design solution using Google Sheet; which is flexible; easy to custom; and does not require extensive resources in terms of human resources and costs. The dashboard must provide information that can guide the campus to optimize the distance learning process. Therefore; this study adopts Objective Key Results (OKR); a performance measurement concept using a clear and transparent set of goals; future-oriented; but still realistic. The research consisted of five steps: determining the research scope; OKR analysis; determining the type and mechanism of data input; designing a dashboard; and evaluation. The analyzed OKR consists of 4 objectives and 27 key results (KR). Those KRs are then shown in a monitoring dashboard design based on Google sheet; consisting weekly; semester; and student dashboard. The results of this design will then be used as a monitoring guide for the implementation of distance learning at STT Terpadu Nurul Fikri in the following semester.";2640-0545;978-1-6654-0422-8;10.1109/ICISS50791.2020.9307558;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9307558;"google sheet;google form;distance learning;performance monitoring;monitoring dashboard;OKR;objective key results;education in pandemic";"Internet;Monitoring;Education;Pandemics;Computer aided instruction;Data visualization;Tools";"computer aided instruction;data visualisation;design engineering;diseases;distance learning;educational administrative data processing;educational institutions;epidemics;Internet";"Google Sheet;Covid-19 pandemic;colleges;continuous evaluation;performance monitoring;OKR analysis;student dashboard;distance learning monitoring dashboard design;objective key results;STT Terpadu Nurul Fikri;data processing;data visualization";;;;18;;4 Jan 2021;;;IEEE;IEEE Conferences;;;;;;;;;;;
Student-Facing Educational Dashboard Design for Online Learners;"A. Farahmand; M. A. A. Dewan; F. Lin";"Athabasca University;School of Computing and Information Systems Faculty of Science and Technology;Athabasca;Canada; Athabasca University;School of Computing and Information Systems Faculty of Science and Technology;Athabasca;Canada; Athabasca University;School of Computing and Information Systems Faculty of Science and Technology;Athabasca;Canada";"2020 IEEE Intl Conf on Dependable; Autonomic and Secure Computing; Intl Conf on Pervasive Intelligence and Computing; Intl Conf on Cloud and Big Data Computing; Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)";11-nov-20;2020;;;345;349;"The current shift from traditional classrooms to online learning in higher education calls for more attention to self-regulated learning. This research is motivated by the growing interest in potential of using learning analytics dashboard (LAD) to increase individuals' self-regulation by creating visibility into their performance in various applications. This study explores how data visualization can be integrated with online learning to improve learners' performance through enhancing their skills in planning and organization. We are working on the design of a comprehensive LAD; focusing on micro-level of learning analytics to support learning activities of students. The LAD includes the following two features to enhance students' self-regulation in online learning: (1) a function to track students' progress compared to other students' over time; (2) reminders to help students with upcoming deadlines and auto-generating to do lists. The hypothesis is that the LAD will increase students' engagement; motivation; and self-regulation in an online learning environment. This study is significant because it contributes to the body of knowledge by exploring how student-generated data can be used to improve self-regulated learning. The practical contribution of this study is to create a personalized LAD for students based on the learner-generated data to benefit students' organization skill; planning skill; and motivation.";;978-1-7281-6609-4;10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00067;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251219;"learning analytics dashboard;online learning;learning management system;information visualization;data mining;self-regulated learning";"Correlation;Education;Data visualization;Organizations;Tools;Time measurement;Planning";"computer aided instruction;data visualisation;further education";"student-facing educational dashboard design;higher education calls;self-regulated learning;learning analytics dashboard;learning activities;self-regulation;online learning environment;student-generated data;personalized LAD;learner-generated data";;1;;17;;11-nov-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Question-driven Learning Analytics: Designing a Teacher Dashboard for Online Breakout Rooms;"S. Pozdniakov; R. Martinez-Maldonado; S. Singh; P. Chen; D. Richardson; T. Bartindale; P. Olivier; D. Gašević";"Centre for Learning Analytics at Monash; Centre for Learning Analytics at Monash; Centre for Learning Analytics at Monash; Monash University;Action Lab; Faculty of Information Technology; Monash University;Action Lab; Faculty of Information Technology; Monash University;Action Lab; Faculty of Information Technology; Monash University;Action Lab; Faculty of Information Technology; Centre for Learning Analytics at Monash";2021 International Conference on Advanced Learning Technologies (ICALT);2 Aug 2021;2021;;;176;178;"One of the ultimate goals of several learning analytics (LA) initiatives is to close the loop and support students' and teachers' reflective practices. Although there has been a proliferation of end-user interfaces (often in the form of dashboards); various limitations have already been identified in the literature such as little account for sensemaking needs. This paper addresses these limitations by proposing a question-driven LA design approach to ensure that end-user LA interfaces explicitly address teachers' questions. We illustrate this in the context of synchronous online activities orchestrated by pairs of teachers using audio-visual and text-based tools (Zoom and Google Docs). This led to the design of an open-source monitoring tool to be used in real-time by teachers when students work collaboratively in breakout rooms; and across learning spaces.";2161-377X;978-1-6654-4106-3;10.1109/ICALT52272.2021.00060;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9499859;"computer aided instruction;learning management systems";"Tools;Real-time systems;Internet;Open source software;Monitoring";"computer aided instruction;social networking (online);user interfaces";"question-driven learning analytics;teacher dashboard;online breakout rooms;learning analytics initiatives;end-user interfaces;end-user LA;synchronous online activities;audio-visual text-based tools;open-source monitoring tool;text-based tools";;;;12;;2 Aug 2021;;;IEEE;IEEE Conferences;;;;;;;;;;;
How Teachers Make Dashboard Information Actionable;"I. Molenaar; C. A. N. Knoop-van Campen";"Radboud University; Nijmegen; The Netherlands; Radboud University; Nijmegen; The Netherlands";IEEE Transactions on Learning Technologies;17-sept-19;2019;12;3;347;355;"This study investigates how teachers use dashboards in primary school classrooms. While learners practice on a tablet real-time data indicating learner progress and performance is displayed on teacher dashboards. This study examines how teachers use the dashboards; applying Verberts' learning analytics process model. Teacher dashboard consultations and resulting pedagogical actions were observed in 38 mathematics lessons. In stimulated recall interviews; the 38 teachers were asked to elaborate on how they reflect on and make sense of the information on the dashboard. The results showed that teachers consulted the dashboard on average 8.3 times per lesson. Teachers activated existing knowledge about students and the class to interpret dashboard information. Task and process feedback were the pedagogical actions most often used following dashboard consultation. Additionally; teachers who consulted the dashboard more often activated more and more diverse pedagogical knowledge to interpret the data and; consequently; gave more and more diverse feedback. These results indicated that teacher dashboards were indeed influencing teachers' pedagogical actions in their daily classroom activities. This study provided the first evidence that dashboards progressively impact teaching practice and initiate more profound behavioral changes as teachers become more proficient in using them.";1939-1382;;10.1109/TLT.2018.2851585;"Kennisnet; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8400475;"Adaptive learning technologies;learning analytics;dashboards;technology enhanced learning.";"Analytical models;Education;Instruments;Reflection;Mathematics;Real-time systems;Task analysis";"computer aided instruction;educational institutions;teaching";"teacher dashboard consultations;teacher dashboards;teachers;pedagogical actions;dashboard information;teaching practice";;2;;18;IEEE;29-jun-18;;;IEEE;IEEE Journals;;;;;;;;;;;
Capitalizing on Learning Analytics Dashboard for Maximizing Student Outcomes;"G. S. Ramaswami; T. Susnjak; A. Mathrani";"School of Natural and Computational Studies Massey University Auckland;New Zealand; School of Natural and Computational Studies Massey University Auckland;New Zealand; School of Natural and Computational Studies Massey University Auckland;New Zealand";2019 IEEE Asia-Pacific Conference on Computer Science and Data Engineering (CSDE);7 Aug 2020;2019;;;1;6;"With ongoing advancements in technology enabled learning; an opportunity has risen for educators to enhance student learning with use of Learning Analytics. Educational institutions are using Learning Analytics Dashboards (LAD) to provide students with timely and personalized feedback in visual format. LAD use advanced analytical capabilities that capitalize on online learner activities that are extracted from log files. They provide data-driven insights on current learning contexts and inform management on any learning intervention strategies that may be needed to support students in achieving their learning outcomes. Besides students; the perspective of instructors too is considered. Using easy-to-read graphical reporting formats (e.g.; line graphs; scatter plot; bar charts; etc.); the LAD reveals a consolidated view of how online learning is taking place. In this manner; a snapshot depicting details of student learning patterns can enable instructors to monitor their students' learning strategies. At the same time; the LAD assists students too by providing them with a personalized environment to help them engage better with the learning outcomes. Therefore; LAD is increasingly used as a pedagogical approach to motivate students and help build their self-learning capacity. In this study; we propose to develop a real-time dashboard that pulls online student data from various sources including a learning management system (Moodle); University's library and from the student management system (SMS) that is used by the staff.";;978-1-7281-6303-1;10.1109/CSDE48274.2019.9162357;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9162357;"learning dashboard;feedback;student feedback system;visualization tool;dashboard";"Tools;Data visualization;Data mining;Bars;Libraries;History;Learning systems";"educational courses;educational institutions;graphical user interfaces;learning management systems;real-time systems";"graphical reporting formats;online learning;real-time dashboard;online student data;learning management system;student management system;educational institutions;learning analytics dashboards;student outcomes maximization";;;;24;;7 Aug 2020;;;IEEE;IEEE Conferences;;;;;;;;;;;
Re-Imagining Performance Reviews: Automated Dashboards for Continuous Visibility of Engineers’ Performance;F. Meawad;"Robusta; Egypt";2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP);7-may-21;2021;;;360;361;"Traditional methods for performance appraisal are not suitable for agile fast-paced software companies. This has been a realization in the software industry since the early adoption of agile methodologies. Nonetheless; software companies are still struggling to find a practical solution that fits the highly dynamic nature of their teams. In particular; high-growth companies; scaleups; need to be creative at how they approach performance appraisals. In this talk; we introduce automated review dashboards to support a seamless appraisal process and continuous visibility of software engineers' performance. The proposed dashboards leverage structure from existing growth frameworks while automating the aggregation of relevant qualitative and quantitative performance metrics. We reflect on our experience using the dashboards at Robusta; a medium-sized software scaleup company. The dashboards enabled a team of four managers to provide timely feedback to 56 engineers with a base for continuous visibility. We explore the design of the dashboards; the customizable metrics and the overall review experience from the perspectives of different stakeholders. We conclude with the lessons learned and practical advice for scaleups facing the same challenge.";;978-1-6654-3869-8;10.1109/ICSE-SEIP52600.2021.00046;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402067;"Agile Performance Reviews; Engineering management; Business intelligence; Entrepreneurship; Information management";"Measurement;Industries;Companies;Software;Appraisal;Stakeholders;Software engineering";"data visualisation;DP industry;project management;software development management;software houses;software prototyping";"review experience;scaleups;automated dashboards;continuous visibility;performance appraisal;software companies;software industry;early adoption;agile methodologies;highly dynamic nature;high-growth companies;review dashboards;seamless appraisal process;software engineers;dashboards leverage structure;growth frameworks;quantitative performance metrics;medium-sized software scaleup company;reimagining performance reviews";;;;12;;7-may-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
A Visual Analytics Framework for Adversarial Text Generation;"B. Laughlin; C. Collins; K. Sankaranarayanan; K. El-Khatib";Ontario Tech University; Ontario Tech University; Ontario Tech University; Ontario Tech University;2019 IEEE Symposium on Visualization for Cyber Security (VizSec);7 Aug 2020;2019;;;1;10;"This paper presents a framework which enables a user to more easily make corrections to adversarial texts. While attack algorithms have been demonstrated to automatically build adversaries; changes made by the algorithms can often have poor semantics or syntax. Our framework is designed to facilitate human intervention by aiding users in making corrections. The framework extends existing attack algorithms to work within an evolutionary attack process paired with a visual analytics loop. Using an interactive dashboard a user is able to review the generation process in real time and receive suggestions from the system for edits to be made. The adversaries can be used to both diagnose robustness issues within a single classifier or to compare various classifier options. With the weaknesses identified; the framework can also be used as a first step in mitigating adversarial threats. The framework can be used as part of further research into defense methods in which the adversarial examples are used to evaluate new countermeasures. We demonstrate the framework with a word swapping attack for the task of sentiment classification.";2639-4332;978-1-7281-3876-3;10.1109/VizSec48167.2019.9161563;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9161563;"Adversarial machine learning;text classification;[Human-centered computing]—Visual analytics;[Security and privacy]—Spoofing attacks";"Machine learning;Visual analytics;Robustness;Semantics;Tools;Task analysis";"data analysis;data mining;data visualisation;pattern classification;sentiment analysis";"sentiment classification;word swapping attack;adversarial threats;classifier options;diagnose robustness issues;generation process;interactive dashboard;visual analytics loop;evolutionary attack process;human intervention;attack algorithms;adversarial text generation;visual analytics framework";;;;40;;7 Aug 2020;;;IEEE;IEEE Conferences;;;;;;;;
Multi-Environmental Parameters Dashboard for Susquehanna River Basin using Machine Learning techniques;"S. Aram; M. H. Rivero; N. K. Pahuja; R. Sadeghian; J. L. R. Paulino; M. Meyer; J. Shallenberger";"Harrisburg University of Science and Technology;Harrisburg;PA;USA;17101; Harrisburg University of Science and Technology;Harrisburg;PA;USA;17101; Harrisburg University of Science and Technology;Harrisburg;PA;USA;17101; Harrisburg University of Science and Technology;Harrisburg;PA;USA;17101; Harrisburg University of Science and Technology;Harrisburg;PA;USA;17101; Harrisburg University of Science and Technology;Harrisburg;PA;USA;17101; The Susquehanna River Basin Commission;Harrisburg;PA;USA;17110";2020 International Conference on Computational Science and Computational Intelligence (CSCI);23-jun-21;2020;;;697;700;"Data-driven decision making is essential for environmental monitoring and protection of natural resources. The Susquehanna River Basin Commission (SRBC) collects water quality data to monitor the condition of the Susquehanna River Basin. The practice of water quality management can be evolved introducing a Geographic Information Systems dashboard that incorporates Artificial Intelligence models to predict environmental parameters in real-time. This study presents an operational dashboard that integrates Machine Learning model using the data collected from the SRBC's 62 different model sites from 2010 to 2019. Five daily time-series parameters were selected such as temperature; turbidity; pH; specific conductance; and dissolved oxygen. The results found the Random Forest as the best performance model to predict the specific conductance of water. These results outline an unprecedented tool for water quality management.";;978-1-7281-7624-6;10.1109/CSCI51800.2020.00128;"Harris; ";https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9458038;"Environmental Science;Machine Learning;GIS Dashboard;Artificial Intelligence;Susquehanna River Basin Position Papers;Symposium on Artificial Intelligence;(CSCI-ISAI)";"Government;Decision making;Water quality;Tools;Predictive models;Real-time systems;Data models";"artificial intelligence;environmental management;environmental monitoring (geophysics);geographic information systems;hydrochemistry;learning (artificial intelligence);rivers;water quality";"random forest;dissolved oxygen;specific conductance;turbidity;temperature;AD 2010 to 2019;performance model;daily time-series parameters;SRBC's 62 different model sites;Machine Learning model;operational dashboard;environmental parameters;Artificial Intelligence models;Geographic Information Systems;water quality management;water quality data;Susquehanna River Basin Commission;natural resources;environmental monitoring;data-driven decision making;Machine Learning techniques;multienvironmental parameters dashboard";;;;11;;23-jun-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
A Unified Dashboard for Collaborative Robot Management System;"H. Ahmad; M. F. Khalid; R. Kandan; M. N. M. Mydin; B. I. Ismail; O. H. Hoe";"Advanced Computing Lab MIMOS Berhad;Kuala Lumpur;Malaysia; Advanced Computing Lab MIMOS Berhad;Kuala Lumpur;Malaysia; Advanced Computing Lab MIMOS Berhad;Kuala Lumpur;Malaysia; Advanced Computing Lab MIMOS Berhad;Kuala Lumpur;Malaysia; Advanced Computing Lab MIMOS Berhad;Kuala Lumpur;Malaysia; Advanced Computing Lab MIMOS Berhad;Kuala Lumpur;Malaysia";2020 IEEE Student Conference on Research and Development (SCOReD);12-nov-20;2020;;;5;9;"Industry Revolution 4.0 transforms product design and fabrication. It revolutionize how manufacturing operates and performs maintenance. Information Technology plays a crucial role in IR4.0 that drives the digitalization of manufacturing. The combination of Information Technology with Operational Technology forms the core of Smart Manufacturing. It works beyond automation and machine-to-machine communications. Among the benefits of IR4.0 are enhanced efficiency in production; mass-customization of product; zero downtime; extended tool life and energy efficiency. Robotics is an ideal smart technology of IR4.0. Current trend in Robotics introduces the deployment of collaborative robot; for SME. However; monitoring and interaction with such system comes with additional challenges especially in large-scale deployment. Dashboard application becomes more important for such system to have a better management. Most of the existing applications are managed in an isolated system even within the same factory; thus make it difficult to maintain and troubleshoot if problems occur. In this paper; we proposed a design of centralized dashboard application with interactive 3D visualization and informative visualization for managing and troubleshooting COBOT System.";2643-2447;978-1-7281-9317-5;10.1109/SCOReD50371.2020.9251036;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251036;"Collaborative Robot;dashboard;visualization;user interface;Industry Revolution 4.0";"Industries;Three-dimensional displays;Collaboration;Transforms;Tools;Information technology;Smart manufacturing";"data visualisation;information technology;maintenance engineering;product customisation;product design;production engineering computing";"unified dashboard;robot management system;smart manufacturing;machine-to-machine communications;industry revolution 4.0 transforms product design;interactive 3D visualization;COBOT System";;1;;8;;12-nov-20;;;IEEE;IEEE Conferences;;;;;;;;;;;
Exploring air quality using a multiple spatial resolution dashboard — a case study in Lisbon;"R. Taborda; N. Datia; M. P. M. Pato; J. M. Pires";"Instituto Politécnico de Lisboa;Future Internet Technologies; ISEL - Instituto Superior de Engenharia de Lisboa;Lisbon;Portugal; Instituto Politécnico de Lisboa;Future Internet Technologies; ISEL - Instituto Superior de Engenharia de Lisboa;Lisbon;Portugal; Instituto Politécnico de Lisboa;Future Internet Technologies; ISEL - Instituto Superior de Engenharia de Lisboa;Lisbon;Portugal; Universidade NOVA de Lisboa;NOVA LINCS; FCT;Portugal";2020 24th International Conference Information Visualisation (IV);11-mar-21;2020;;;140;145;"Air quality is monitored using data recollected using fixed selected stations in a region; generally a city. Such approach does not support a fine-grained comprehension about the air quality; namely; in areas distant from the collector's stations; specially in residential urban places. In this paper; we describe a platform that will provide to city council decision-makers a visualization of air pollution data; using an interactive map-based dashboard with multiple spatial resolution. The air quality data is collected using low-cost portable sensors. Air pollution data is then integrated with other environmental contextual data and displayed into the dashboard. Such data includes; among other; spatio-temporal mobility data; providing contextual information about air pollution. The solution is tailored to city council decision-makers enabling a better understanding of air quality issues; and acting as a supporting tool for different communities; exploiting synergies to promote the sustainability of the city.";2375-0138;978-1-7281-9134-8;10.1109/IV51561.2020.00032;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373249;"Air pollution;Interactive visualization;Smart cities;Contextual information";"Urban areas;Tools;Air pollution;Sensors;Spatial resolution;Sustainable development;Monitoring";"air pollution;environmental science computing";"interactive map-based dashboard;air quality data;air pollution data;environmental contextual data;spatio-temporal mobility data;city council decision-makers;air quality issues;multiple spatial resolution dashboard;fixed selected stations;fine-grained comprehension";;;;27;;11-mar-21;;;IEEE;IEEE Conferences;;;;;;;;;;;
Introducing the Global Educational Learning Observatory (GELO) and the Global Readiness Explorer (GREx): A framework and dashboard to investigate tech competence and culture;"R. van Oostveen; E. Childs; W. Barber; M. DiGiuseppe; J. Percival; C. Desjardins";"University of Ontario Institute of Technology;Faculty of Education;Oshawa;Canada; School of Education and Technology; Royal Roads University;Victoria;Canada; University of Ontario Institute of Technology;Faculty of Education;Oshawa;Canada; University of Ontario Institute of Technology;Faculty of Education;Oshawa;Canada; Manning School of Business; University of Massachusetts Lowell;Lowell;MA;USA; Ictinus Inc.;Ottawa;Canada";2019 18th International Conference on Information Technology Based Higher Education and Training (ITHET);23 Dec 2019;2019;;;1;6;"The Organization for Economic Co-operation and Development calls for immediate paradigmatic shifts in how educational institutions and the broader society address employment skills. A wide variety of local and global sources; including trade magazines; government sites; and pan-governmental sites; echo this urgent call; recommending increased emphasis on skills development in complex problem solving; critical thinking; creativity; and collaboration. The overarching aim of the Global Educational Learning Observatory (GELO) project is to develop a framework for creating an international network of institutions utilizing data-driven and science-informed evidence of best practices in online and mobile learning; while endeavoring to reach out to a large variety of individuals in formal and informal educational institutions globally. To achieve this; the project aims to (i) assemble a nucleus of formal educational institutions; (ii) construct the necessary tools to extend research on formal learning models; and (iii) reach into workplaces and more public spaces to integrate with informal learning settings. The primary source of data derives from a customizable dashboard; the Global Readiness Explorer (GREx); and a variety of quantitative tools that may be implemented within it. In addition; local initiatives and the development of overarching policies will require the use of qualitative and mixed methodologies for the collection and analysis of textual; video. and other types of artifacts to supplement the quantitative data. In GELO; partner institutions can use the broad range of data types to make decisions about course and professional learning offerings in response to the needs identified through analysis of the data. The results of this project will allow the project team to use digital technology tools to more fully explore informal learning settings around the world as a means of transforming our common understandings of traditional; institutional; and more contemporary; lifelong learning trends.";2380-1603;978-1-7281-2464-3;10.1109/ITHET46829.2019.8937340;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8937340;"quantitative surveys;dashboard;framework;cultural values;employment skills;digital competencies";"Tools;Organizations;Education;Employment;Cultural differences;Collaboration;Observatories";"computer aided instruction;data analysis;educational institutions;employment;further education;human factors;mobile learning;user interfaces";"Global Readiness Explorer;GREx;tech competence;Organization for Economic Co-operation and Development;collaborative skills development;Global Educational Learning Observatory project;online learning;mobile learning;educational institutions;formal learning models;customizable dashboard;GELO project;complex problem solving skills;critical thinking skills;creativity skills development;data analysis;digital technology tools;employment skills";;;;37;;23 Dec 2019;;;IEEE;IEEE Conferences;;;;;;;;;;;
Dashboard to Monitor Performance of an Hotel in the Financial Perspective;"A. M. Santos Lavrador; R. M. S. Laureano";"Instituto Universitário de Lisboa (ISCTE-IUL); Av. das Forças Armadas; Lisboa; 1649-026; Portugal; BRU-IUL e ISTAR-IUL; Instituto Universitário de Lisboa (ISCTE-IUL); A v. das Forças Armadas; Lisboa; 1649-026; Portugal";2019 14th Iberian Conference on Information Systems and Technologies (CISTI);15-jul-19;2019;;;206;211;"Companies in a very competitive environment need to analyze the data generated by the business quickly; intuitively and easily read. Thus; dashboards; a form of reporting that allows the monitoring of indicators relevant to the business; it has become popular among managers. In this context; this article focuses on monitoring the performance of the Hotel Resort& SPA; from the perspective of its financial officer. To this end; two models of dashboards for hotel finance managers are proposed based on good practices identified in the literature. Interviews with experts allowed the identification of key performance indicators and ensured that dashboards are effectively useful for decision-making. Thus; this study contributes to helping financial managers; related to hospitality; in decision making by providing two types of dashboards. In addition; it contributes to the knowledge by identifying relevant KPIs; from the perspective of the financial management of hotels; and making known the dashboards; specifically elaborated in the perspective of the use by these professionals.";2166-0727;978-9-8998-4349-3;10.23919/CISTI.2019.8760853;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8760853;"Performance;Dashboard;Report;Excel;Hotel";"Organizations;Monitoring;Tools;Key performance indicator;Decision making";"data analysis;decision making;financial management;hotel industry;organisational aspects";"financial perspective;dashboards;Hotel Resort& SPA;key performance indicators;decision-making;financial managers;decision making;performance monitoring;data analysis";;1;;27;;15-jul-19;;;IEEE;IEEE Conferences;;;;;;;;;;;
