Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Assessing User-Designed Dashboards: A Case for Developing Data Visualization Competency","Information and Communication Technologies for Development. Strengthening Southern-Driven Cooperation as a Catalyst for ICT4D","","","","10.1007/978-3-030-18400-1_37","Aprisa ChrysantinaJohan Ivar Sæbø","2019","http://link.springer.com/chapter/10.1007/978-3-030-18400-1_37","Chapter"
"Design and Implementation of Dashboards to Support Teachers Decision-Making Process in e-Assessment Systems","Engineering Data-Driven Adaptive Trust-based e-Assessment Systems","","","","10.1007/978-3-030-29326-0_6","Isabel Guitart HormigoM. Elena RodríguezXavier Baró","2020","http://link.springer.com/chapter/10.1007/978-3-030-29326-0_6","Chapter"
"An Institutional Perspective on the Adoption of Open Dashboard for Health Information Systems in Tanzania","Information and Communication Technologies for Development. Strengthening Southern-Driven Cooperation as a Catalyst for ICT4D","","","","10.1007/978-3-030-18400-1_22","Wilfred F. SenyoniHonest C. KimaroJørn BraaClaud Kumalija","2019","http://link.springer.com/chapter/10.1007/978-3-030-18400-1_22","Chapter"
"Web-Based Development and Visualization Dashboards for Smart City Applications","Web Engineering","","","","10.1007/978-3-030-50578-3_23","Douglas RolimJorge SilvaThais BatistaEverton Cavalcante","2020","http://link.springer.com/chapter/10.1007/978-3-030-50578-3_23","Chapter"
"Dashboards for Computer-Supported Collaborative Learning","Machine Learning Paradigms","","","","10.1007/978-3-030-13743-4_9","Arita L. LiuJohn C. Nesbit","2020","http://link.springer.com/chapter/10.1007/978-3-030-13743-4_9","Chapter"
"Our First Web Dashboard","Project Reliability Engineering","","","","10.1007/978-1-4842-5019-8_2","Eyal Shahar","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5019-8_2","Chapter"
"Software Engineering Dashboards: Types, Risks, and Future","Rethinking Productivity in Software Engineering","","","","10.1007/978-1-4842-4221-6_16","Margaret-Anne StoreyChristoph Treude","2019","http://link.springer.com/chapter/10.1007/978-1-4842-4221-6_16","Chapter"
"Complex Systems: On Design and Architecture of Adaptable Dashboards","Software Technology: Methods and Tools","","","","10.1007/978-3-030-29852-4_14","Dragos Strugar","2019","http://link.springer.com/chapter/10.1007/978-3-030-29852-4_14","Chapter"
"Building the Dashboard","Getting Started with Salesforce Einstein Analytics","","","","10.1007/978-1-4842-5200-0_6","Johan Yu","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5200-0_6","Chapter"
"Implementation of IoT Platform’s Dashboards for the Visualisation of Dynamic KPIs: Insights from a Case Study","Smart and Sustainable Collaborative Networks 4.0","","","","10.1007/978-3-030-85969-5_48","Marco VenutaMichela ZambettiFabiana PirolaGiuditta PezzottaPiergiorgio GrasseniMarco FerrariStefano Salvi","2021","http://link.springer.com/chapter/10.1007/978-3-030-85969-5_48","Chapter"
"An Approach for the Automated Generation of Engaging Dashboards","On the Move to Meaningful Internet Systems: OTM 2019 Conferences","","","","10.1007/978-3-030-33246-4_24","Ünal AksuAdela del-Río-OrtegaManuel ResinasHajo A. Reijers","2019","http://link.springer.com/chapter/10.1007/978-3-030-33246-4_24","Chapter"
"Designing a Dashboard Visualization Tool for Urban Planners to Assess the Completeness of Streets","Human Interface and the Management of Information. Designing Information","","","","10.1007/978-3-030-50020-7_6","Greice C. MarianoVeda AdnaniIman KewalramaniBo WangMatthew J. RoordaJeremy BowesSara Diamond","2020","http://link.springer.com/chapter/10.1007/978-3-030-50020-7_6","Chapter"
"Designing a Privacy Dashboard for a Smart Manufacturing Environment","Digital Transformation for a Sustainable Society in the 21st Century","","","","10.1007/978-3-030-39634-3_8","Felix MannhardtManuel OliveiraSobah Abbas Petersen","2020","http://link.springer.com/chapter/10.1007/978-3-030-39634-3_8","Chapter"
"A Learning Analytics Dashboard to Analyse Learning Activities in Interpreter Training Courses","Computer Supported Education","","","","10.1007/978-3-030-21151-6_14","Davide TaibiFrancesca BianchiPhilipp KemkesIvana Marenzi","2019","http://link.springer.com/chapter/10.1007/978-3-030-21151-6_14","Chapter"
"Towards a Learning Analytics Dashboard for Collaborative Conversational Agent Activities in MOOCs","Internet of Things, Infrastructures and Mobile Applications","","","","10.1007/978-3-030-49932-7_65","Stergios TegosThrasyvoulos TsiatsosGeorgios PsathasStavros Demetriadis","2021","http://link.springer.com/chapter/10.1007/978-3-030-49932-7_65","Chapter"
"InnoMetrics Dashboard: The Design, and Implementation of the Adaptable Dashboard for Energy-Efficient Applications Using Open Source Tools","Open Source Systems","","","","10.1007/978-3-030-47240-5_16","Shokhista ErgashevaVladimir IvanovIlya KhomyakovArtem KruglovDragos StrugarGiancarlo Succi","2020","http://link.springer.com/chapter/10.1007/978-3-030-47240-5_16","Chapter"
"Effectiveness of Dashboard and Intervention Design","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_5","Jeevan PokhrelAruna Awasthi","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_5","Chapter"
"Designing and Developing a Learning Analytics Dashboard to Support Self-Regulated Learning","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_22","Mehmet UysalMehmet Barış Horzum","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_22","Chapter"
"A handheld classroom dashboard: Teachers’ perspectives on the use of real-time collaborative learning analytics","International Journal of Computer-Supported Collaborative Learning","","14","3","10.1007/s11412-019-09308-z","Roberto Martinez-Maldonado","2019","http://link.springer.com/article/10.1007/s11412-019-09308-z","Article"
"Understanding Pandemic Dashboard Development: A Multi-level Analysis of Success Factors","Innovation Through Information Systems","","","","10.1007/978-3-030-86790-4_22","Ludger PöhlerKevin KusFrank Teuteberg","2021","http://link.springer.com/chapter/10.1007/978-3-030-86790-4_22","Chapter"
"Discovering Generative Uncertainty in Learning Analytics Dashboards","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_21","Ha NguyenFabio CamposJune Ahn","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_21","Chapter"
"Dashboard Design","Project Reliability Engineering","","","","10.1007/978-1-4842-5019-8_4","Eyal Shahar","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5019-8_4","Chapter"
"Keys for successful 360° hypervideo design: A user study based on an xAPI analytics dashboard","Multimedia Tools and Applications","","79","31 - 32","10.1007/s11042-020-09059-2","Javier del MolinoToni BibiloniAntoni Oliver","2020","http://link.springer.com/article/10.1007/s11042-020-09059-2","Article"
"Web Analytics as Extension for a Learning Analytics Dashboard of a Massive Open Online Platform","Adoption of Data Analytics in Higher Education Learning and Teaching","","","","10.1007/978-3-030-47392-1_19","Philipp LeitnerKarin MaierMartin Ebner","2020","http://link.springer.com/chapter/10.1007/978-3-030-47392-1_19","Chapter"
"User-Centered Design for a Student-Facing Dashboard Grounded in Learning Theory","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_9","Stephanie D. TeasleyMatthew KayShannon ElkinsJackson Hammond","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_9","Chapter"
"Metrics and Dashboard for Level 2 – Experience","Systems, Software and Services Process Improvement","","","","10.1007/978-3-030-56441-4_49","Bernhardt StegerDamjan EkertRichard MessnarzJakub StolfaSvatopluk StolfaZdenek Velart","2020","http://link.springer.com/chapter/10.1007/978-3-030-56441-4_49","Chapter"
"On the Design of a Teachers’ Dashboard: Requirements and Insights","Learning and Collaboration Technologies. Designing, Developing and Deploying Learning Experiences","","","","10.1007/978-3-030-50513-4_19","Pedro IsaiasAdriana Backx Noronha Viana","2020","http://link.springer.com/chapter/10.1007/978-3-030-50513-4_19","Chapter"
"Advanced Dashboarding Techniques","Pro Power BI Desktop","","","","10.1007/978-1-4842-5763-0_24","Adam Aspin","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5763-0_24","Chapter"
"Dashboards and Visualization","BigQuery for Data Warehousing","","","","10.1007/978-1-4842-6186-6_17","Mark Mucchetti","2020","http://link.springer.com/chapter/10.1007/978-1-4842-6186-6_17","Chapter"
"Digital India eGovernance Initiative for Tribal Empowerment: Performance Dashboard of the Ministry of Tribal Affairs","Information and Communication Technology for Competitive Strategies (ICTCS 2020)","","","","10.1007/978-981-16-0882-7_92","Naval Jit KapoorAshutosh Prasad MauryaRaghu RamanKumar GovindPrema Nedungadi","2021","http://link.springer.com/chapter/10.1007/978-981-16-0882-7_92","Chapter"
"A Case Study on the Implementation of the Right of Access in Privacy Dashboards","Privacy Technologies and Policy","","","","10.1007/978-3-030-76663-4_2","Jan TolsdorfMichael FischerLuigi Lo Iacono","2021","http://link.springer.com/chapter/10.1007/978-3-030-76663-4_2","Chapter"
"The Current Landscape of Research and Practice on Visualizations and Dashboards for Learning Analytics","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_2","Min LiuSonghee HanPeixia ShaoYing CaiZilong Pan","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_2","Chapter"
"Development, implementation and user experience of the Veterans Health Administration (VHA) dialysis dashboard","BMC Nephrology","","21","1","10.1186/s12882-020-01798-6","Michael J. FischerWissam M. KouranyKaren SovernKurt ForresterCassandra GriffinNancy LightnerShawn LoftusKatherine MurphyGreg RothPaul M. PalevskySusan T. Crowley","2020","http://link.springer.com/article/10.1186/s12882-020-01798-6","Article"
"Increasing Student Use of a Learner Dashboard","Journal of Science Education and Technology","","29","3","10.1007/s10956-020-09824-w","Rebecca L. SansomRobert BodilyCaroline O. BatesHeather Leary","2020","http://link.springer.com/article/10.1007/s10956-020-09824-w","Article"
"Visualization and Dashboards: Challenges and Future Directions","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_27","Muhittin SahinDirk Ifenthaler","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_27","Chapter"
"Discussion: On the Potential of S3D Dashboards","S3D Dashboard","","","","10.1007/978-3-658-35147-2_10","Florian Weidner","2021","http://link.springer.com/chapter/10.1007/978-3-658-35147-2_10","Chapter"
"Development, implementation and preliminary evaluation of clinical dashboards in a department of anesthesia","Journal of Clinical Monitoring and Computing","","35","3","10.1007/s10877-020-00522-x","Géry LaurentMouhamed D. MoussaCédric CireneiBenoît TavernierRomaric MarcillyAntoine Lamer","2021","http://link.springer.com/article/10.1007/s10877-020-00522-x","Article"
"Do Teachers Find Dashboards Trustworthy, Actionable and Useful? A Vignette Study Using a Logs and Audio Dashboard","Technology, Knowledge and Learning","","","","10.1007/s10758-021-09522-5","Reet KasepaluPankaj ChejaraLuis P. PrietoTobias Ley","2021","http://link.springer.com/article/10.1007/s10758-021-09522-5","Article"
"Dashboard Literacy: Understanding Students’ Response to Learning Analytic Dashboards","Mobility, Data and Learner Agency in Networked Learning","","","","10.1007/978-3-030-36911-8_5","Liz BennettSue Folley","2020","http://link.springer.com/chapter/10.1007/978-3-030-36911-8_5","Chapter"
"Visualizations and Dashboards for Learning Analytics: A Systematic Literature Review","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_1","Muhittin SahinProf. Dr. Dirk Ifenthaler","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_1","Chapter"
"Multimodal Analytics Dashboard for Story Detection and Visualization","Video Verification in the Fake News Era","","","","10.1007/978-3-030-26752-0_10","Arno ScharlAlexander Hubmann-HaidvogelMax GöbelTobi SchäferDaniel FischlLyndon Nixon","2019","http://link.springer.com/chapter/10.1007/978-3-030-26752-0_10","Chapter"
"What Do MOOC Dashboards Present to Learners?","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_6","Wenting SunClara SchumacherLi ChenNiels Pinkwart","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_6","Chapter"
"Learning Analytics Dashboard Supporting Metacognition","Balancing the Tension between Digital Technologies and Learning Sciences","","","","10.1007/978-3-030-65657-7_8","Li ChenMin LuYoshiko GodaAtsushi ShimadaMasanori Yamada","2021","http://link.springer.com/chapter/10.1007/978-3-030-65657-7_8","Chapter"
"Development and implementation of a Telenephrology dashboard for active surveillance of kidney disease: a quality improvement project","BMC Nephrology","","21","1","10.1186/s12882-020-02077-0","Melissa L. SweeM. Lee SandersKantima PhisitkulGeorge BaileyAngie ThumannNikki NeuzilBharat KumarAmy M. J. O’SheaBradley S. Dixon","2020","http://link.springer.com/article/10.1186/s12882-020-02077-0","Article"
"The Impact of Personality, Attitude and Visual Decision-Making Dashboard Tools on the Learning Engagement of Economist Students","Methodologies and Intelligent Systems for Technology Enhanced Learning, 10th International Conference","","","","10.1007/978-3-030-52538-5_12","Liana StancaCristina FeleaRomeo StancaMirela Pintea","2020","http://link.springer.com/chapter/10.1007/978-3-030-52538-5_12","Chapter"
"Challenges and Future Directions for Privacy Dashboard Design of Electronic Health Systems","Innovations in Cyber Physical Systems","","","","10.1007/978-981-16-4149-7_15","Param BataviaPurnima AhiraoDeepti Patole","2021","http://link.springer.com/chapter/10.1007/978-981-16-4149-7_15","Chapter"
"Stereoscopic 3D dashboards","Personal and Ubiquitous Computing","","","","10.1007/s00779-020-01438-8","Florian WeidnerWolfgang Broll","2020","http://link.springer.com/article/10.1007/s00779-020-01438-8","Article"
"What information should CSCL teacher dashboards provide to help teachers interpret CSCL situations?","International Journal of Computer-Supported Collaborative Learning","","14","3","10.1007/s11412-019-09299-x","Anouschka van LeeuwenNikol RummelTamara van Gog","2019","http://link.springer.com/article/10.1007/s11412-019-09299-x","Article"
"User-Experience in Business Intelligence - A Quality Construct and Model to Design Supportive BI Dashboards","Research Challenges in Information Science","","","","10.1007/978-3-030-50316-1_11","Corentin BurnaySarah BouragaStéphane FaulknerIvan Jureta","2020","http://link.springer.com/chapter/10.1007/978-3-030-50316-1_11","Chapter"
"Building a Real-Time Dashboard","Practical Highcharts with Angular","","","","10.1007/978-1-4842-5744-9_7","Sourabh Mishra","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5744-9_7","Chapter"
"Design of a clinician dashboard to facilitate co-decision making in the management of non-specific low back pain","Journal of Intelligent Information Systems","","52","2","10.1007/s10844-018-0539-y","Kerstin BachCindy MarlingPaul Jarle MorkAgnar AamodtFrances S. MairBarbara I. Nicholl","2019","http://link.springer.com/article/10.1007/s10844-018-0539-y","Article"
"Expectations from a Process Mining Dashboard in Operating Rooms with Analytic Hierarchy Process","Business Process Management Workshops","","","","10.1007/978-3-030-11641-5_12","Antonio Martinez-MillanaAroa LizondoRoberto GattaVicente TraverCarlos Fernandez-Llatas","2019","http://link.springer.com/chapter/10.1007/978-3-030-11641-5_12","Chapter"
"Container Reporting & Dashboards","Monitoring Microservices and Containerized Applications","","","","10.1007/978-1-4842-6216-0_6","Navin SabharwalPiyush Pandey","2020","http://link.springer.com/chapter/10.1007/978-1-4842-6216-0_6","Chapter"
"Knowledge Managers and Dashboards in Splunk","Splunk Certified Study Guide","","","","10.1007/978-1-4842-6669-4_6","Deep Mehta","2021","http://link.springer.com/chapter/10.1007/978-1-4842-6669-4_6","Chapter"
"Factors that affect the success of learning analytics dashboards","Educational Technology Research and Development","","67","6","10.1007/s11423-019-09693-0","Yeonjeong ParkIl-Hyun Jo","2019","http://link.springer.com/article/10.1007/s11423-019-09693-0","Article"
"Exploring Large Stereoscopic 3D Dashboards for Future Automotive User Interfaces","Advances in Human Aspects of Transportation","","","","10.1007/978-3-319-93885-1_45","Florian WeidnerWolfgang Broll","2019","http://link.springer.com/chapter/10.1007/978-3-319-93885-1_45","Chapter"
"Applying population health approaches to improve safe anticoagulant use in the outpatient setting: the DOAC Dashboard multi-cohort implementation evaluation study protocol","Implementation Science","","15","1","10.1186/s13012-020-01044-5","Geoffrey D. BarnesEmily SippolaMichael DorschJoshua ErricksonMichael LanhamArthur AllenPatrick SpoutzAnne E. SalesJeremy Sussman","2020","http://link.springer.com/article/10.1186/s13012-020-01044-5","Article"
"Development and usability of a feedback tool, “My Personal Brain Health Dashboard”, to improve setting of self-management goals among people living with HIV in Canada","Quality of Life Research","","30","11","10.1007/s11136-020-02555-w","Maryam MozafariniaFateme RajabiyazdiMarie-Josee BrouilletteLesley K. FellowsNancy E. Mayo","2021","http://link.springer.com/article/10.1007/s11136-020-02555-w","Article"
"Improving Health Care Management in Hospitals Through a Productivity Dashboard","Journal of Medical Systems","","44","4","10.1007/s10916-020-01546-1","Miguel PestanaRuben PereiraSérgio Moro","2020","http://link.springer.com/article/10.1007/s10916-020-01546-1","Article"
"AttentionBoard: A Quantified-Self Dashboard for Enhancing Attention Management with Eye-Tracking","Information Systems and Neuroscience","","","","10.1007/978-3-030-60073-0_31","Moritz LangnerPeyman ToreiniAlexander Maedche","2020","http://link.springer.com/chapter/10.1007/978-3-030-60073-0_31","Chapter"
"Thermal Management Improvement  with Composite Materials in the Dashboard","ATZ worldwide","","121","9","10.1007/s38311-019-0101-8","Paul BeckerAndreas Büter","2019","http://link.springer.com/article/10.1007/s38311-019-0101-8","Article"
"Information Systems in the COVID-19 Pandemic: An Analysis of Infection Dashboards and Their State-Tracking Abilities","Digital Responses to Covid-19","","","","10.1007/978-3-030-66611-8_2","Fritz Hädrich","2021","http://link.springer.com/chapter/10.1007/978-3-030-66611-8_2","Chapter"
"Preliminary Analysis of the Behavioural Intention to Use a Risk Analysis Dashboard Through the Technology Acceptance Model","Product Lifecycle Management Enabling Smart X","","","","10.1007/978-3-030-62807-9_39","Jean-Marc VasnierNicolas MaranzanaNorlaily YaacobMourad MessaadiaAmeziane Aoussat","2020","http://link.springer.com/chapter/10.1007/978-3-030-62807-9_39","Chapter"
"Data Visualization of Supplier Selection Using Business Intelligence Dashboard","Advances in Visual Informatics","","","","10.1007/978-3-030-34032-2_7","Nik Nur Ayuni Nik AlwiNoor Hafizah HassanAhmad Fazreen BaharudenNur Azaliah Abu BakarNurazean Maarop","2019","http://link.springer.com/chapter/10.1007/978-3-030-34032-2_7","Chapter"
"Representation and Visualization of Students’ Progress Data Through Learning Dashboard","Advances in Computing and Data Sciences","","","","10.1007/978-3-030-88244-0_13","Anagha VaidyaSarika Sharma","2021","http://link.springer.com/chapter/10.1007/978-3-030-88244-0_13","Chapter"
"For Learners, with Learners: Identifying Indicators for an Academic Advising Dashboard for Students","Addressing Global Challenges and Quality Education","","","","10.1007/978-3-030-57717-9_9","Isabel HilligerTinne De LaetValeria HenríquezJulio GuerraMargarita Ortiz-RojasMiguel Ángel ZuñigaJorge BaierMar Pérez-Sanagustín","2020","http://link.springer.com/chapter/10.1007/978-3-030-57717-9_9","Chapter"
"Enhancing Dashboards","Pro Power BI Desktop","","","","10.1007/978-1-4842-5763-0_23","Adam Aspin","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5763-0_23","Chapter"
"Exploring the Dashboard","Getting Started with Salesforce Einstein Analytics","","","","10.1007/978-1-4842-5200-0_7","Johan Yu","2019","http://link.springer.com/chapter/10.1007/978-1-4842-5200-0_7","Chapter"
"A Multi-perspective Narrative-Based Geovisualization Dashboard for the 2020 US Presidential Election","Journal of Geovisualization and Spatial Analysis","","5","2","10.1007/s41651-021-00087-6","Jinmeng RaoKexin ChenEllie Fan YangJacob KruseKyler HudsonSong Gao","2021","http://link.springer.com/article/10.1007/s41651-021-00087-6","Article"
"Designing Data Visualization Dashboards to Support the Prediction of Congenital Anomalies","Human Interface and the Management of Information. Information Presentation and Visualization","","","","10.1007/978-3-030-78321-1_12","Tatiana Aparecida de AlmeidaFerrucio de Franco RosaRodrigo Bonacin","2021","http://link.springer.com/chapter/10.1007/978-3-030-78321-1_12","Chapter"
"Dashboards","Mastering Social Media Analytics","","","","10.1007/978-1-4842-4275-9_5","Alex Gonçalves","2019","http://link.springer.com/video/segment/10.1007/978-1-4842-4275-9_5","Video/Segment"
"Admin Dashboard","Practical Bootstrap","","","","10.1007/978-1-4842-6071-5_7","Panos Matsinopoulos","2020","http://link.springer.com/chapter/10.1007/978-1-4842-6071-5_7","Chapter"
"Research on Optimization of Information Coding for Car Dashboard Based on Eye Movement Analysis","Advances in Ergonomics in Design","","","","10.1007/978-3-030-20227-9_12","Guilei SunQin LiYanhua MengLinghua Ran","2020","http://link.springer.com/chapter/10.1007/978-3-030-20227-9_12","Chapter"
"Usability Analysis of Warning Icons in Passenger Car Dashboards in India Using Modified System Usability Scale (SUS)","Design for Tomorrow—Volume 1","","","","10.1007/978-981-16-0041-8_30","Sourav BhattacharyaDhananjay Singh Bisht","2021","http://link.springer.com/chapter/10.1007/978-981-16-0041-8_30","Chapter"
"User-Centred Guidelines for the Design of Curriculum Analytics Dashboards","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_23","Ed de QuinceyMartyn Parker","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_23","Chapter"
"Company Privacy Dashboards: Employee Needs and Requirements","HCI for Cybersecurity, Privacy and Trust","","","","10.1007/978-3-030-22351-9_29","Svenja PolstPatricia KelbertDenis Feth","2019","http://link.springer.com/chapter/10.1007/978-3-030-22351-9_29","Chapter"
"Creation of a chemotherapy-induced nausea/vomiting dashboard to improve outcomes for pediatric cancer patients","Supportive Care in Cancer","","29","3","10.1007/s00520-020-05652-1","Alexandra M. WalshJennifer HessMelissa ReesCynthia WetmoreVinay Vadiya","2021","http://link.springer.com/article/10.1007/s00520-020-05652-1","Article"
"The Canadian Cultural Diversity Dashboard: Data Storytelling and Visualization for the Cultural Sector","Design, User Experience, and Usability:  UX Research and Design","","","","10.1007/978-3-030-78221-4_25","Sara DiamondRittika BasuShunrong CaoAjaz Hussain","2021","http://link.springer.com/chapter/10.1007/978-3-030-78221-4_25","Chapter"
"GKE Dashboarding Using Stackdriver (Google Operations) and Grafana","Pro Google Kubernetes Engine","","","","10.1007/978-1-4842-6243-6_7","Navin SabharwalPiyush Pandey","2020","http://link.springer.com/chapter/10.1007/978-1-4842-6243-6_7","Chapter"
"Usability evaluation of an open-source environmental monitoring data dashboard for archivists","Archival Science","","20","4","10.1007/s10502-020-09340-1","Monica G. MaceliKerry Yu","2020","http://link.springer.com/article/10.1007/s10502-020-09340-1","Article"
"Teachers’ Perspectives on the Promises, Needs and Challenges of Learning Analytics Dashboards: Insights from Institutions Offering Blended and Distance Learning","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_16","Rogers KaliisaAnna GillespieChristothea HerodotouAnders KlugeBart Rienties","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_16","Chapter"
"Learning Analytics Dashboards in Educational Games","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_24","Seyedahmad RahimiValerie Shute","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_24","Chapter"
"Digidhan Dashboard—Monitoring and Analysis of Digital Payments","ICT Systems and Sustainability","","","","10.1007/978-981-15-0936-0_8","Deepak Chandra MisraInder Pal Singh SethiOm Pradyumana GuptaMisha KapoorRitesh Kumar Dwivedi","2020","http://link.springer.com/chapter/10.1007/978-981-15-0936-0_8","Chapter"
"Reproducible Academic Writing and Interactive Data Visualization Using R Markdown (R Programming Flex-Dashboard: Flex_Dashboard Packages)","Rising Threats in Expert Applications and Solutions","","","","10.1007/978-981-15-6014-9_73","Yagyanath Rimal","2021","http://link.springer.com/chapter/10.1007/978-981-15-6014-9_73","Chapter"
"Learning Analytics Dashboard Use in Online Courses: Why and How Instructors Interpret Discussion Data","Visualizations and Dashboards for Learning Analytics","","","","10.1007/978-3-030-81222-5_17","Gokce AkcayirLeticia Farias WanderleyCarrie Demmans EppJim HewittAthar Mahmoudi-Nejad","2021","http://link.springer.com/chapter/10.1007/978-3-030-81222-5_17","Chapter"
"Understanding the utilisation of a novel interactive electronic medication safety dashboard in general practice: a mixed methods study","BMC Medical Informatics and Decision Making","","20","1","10.1186/s12911-020-1084-5","Mark JeffriesWouter T. GudeRichard N. KeersDenham L. PhippsRichard WilliamsEvangelos KontopantelisBenjamin BrownAnthony J. AveryNiels PeekDarren M. Ashcroft","2020","http://link.springer.com/article/10.1186/s12911-020-1084-5","Article"
"Node-Red Programming and Page GUI Builder for Industry 4.0 Dashboard Design","Role of Single Board Computers (SBCs) in rapid IoT Prototyping","","","","10.1007/978-3-030-72957-8_6","G. R. Kanagachidambaresan","2021","http://link.springer.com/chapter/10.1007/978-3-030-72957-8_6","Chapter"
"Create Dashboards and Data Story with the Data & Analytics Frameworks","Metadata and Semantic Research","","","","10.1007/978-3-030-36599-8_24","Petito MicheleFrancesca FallucchiErnesto William De Luca","2019","http://link.springer.com/chapter/10.1007/978-3-030-36599-8_24","Chapter"
"Developing a Scalable Platform and Analytics Dashboard for Manual Physical Therapy Practices Using Pressure Sensing Fabric","Advances in Software Engineering, Education, and e-Learning","","","","10.1007/978-3-030-70873-3_19","Tyler V. RimaldiDaniel R. GrossmannDonald R. Schwartz","2021","http://link.springer.com/chapter/10.1007/978-3-030-70873-3_19","Chapter"
