"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"DataScope: Interactive visual exploratory dashboards for large multidimensional data","G. Iyer; S. DuttaDuwarah; A. Sharma","Department of Biomedical Informatics, Emory University, Atlanta, GA; Department of Biomedical Informatics, Emory University, Atlanta, GA; Department of Biomedical Informatics, Emory University, Atlanta, GA","2017 IEEE Workshop on Visual Analytics in Healthcare (VAHC)","","2017","","","17","23","DataScope is a web-based tool for generating interactive visual dashboards on large scale multidimensional datasets. Users create these dashboards using a high-level declarative grammar, and use them to explore data and create cohorts for downstream analysis. We describe DataScope's architecture, design considerations and provide an overview of the system. We highlight some of DataScope's features that were useful in the case studies using datasets from cancer registries and co-clinical trials. In benchmarks DataScope is able to perform sub-second queries on data sizes ranging from thousand to million records.","","978-1-5386-3187-4978-1-5386-3188","10.1109/VAHC.2017.8387496","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387496","Information visualization;Data exploration;Interactive data exploration","Data visualization;Tools;Libraries;Servers;Visualization;Filtering;Browsers","cancer;data analysis;data visualisation;grammars;interactive systems;Internet;medical administrative data processing;medical computing","downstream analysis;cancer registries;co-clinical trials;Interactive visual exploratory dashboards;multidimensional data;interactive visual dashboards;scale multidimensional datasets;high-level declarative grammar;DataScope","","","","22","","","","","","IEEE","IEEE Conferences"
"A personalization system for data visualization platforms","O. Belo; H. Correia; P. Rodrigues; R. Barros","ALGORITMI R&D Centre, University of Minho, 4710-057 Braga, Portugal; Portugal Telecom Inovação e Sistemas, SA, 3810-106 Aveiro, Portugal; ALGORITMI R&D Centre, University of Minho, 4710-057 Braga, Portugal; ALGORITMI R&D Centre, University of Minho, 4710-057 Braga, Portugal","2016 Sixth International Conference on Innovative Computing Technology (INTECH)","","2016","","","162","167","Today dashboards are a clear factor of differentiation for decision-makers, providing critical business indicators in useful time. They are very important data visualization mechanisms, simple to interpret, easy to deal, and fast on showing pertinent data. Dashboards provide means for reducing time of information analysis, disposing business indicators in quite understandable and attractive interface platforms - a ""simple and beautiful"" way to support business analysis. However, they use to be static software artifacts having not the ability to evolve, to adapt by themselves to new user needs, tendencies or preferences. In order to provide such abilities, we designed and implemented a personalization system for data visualization platforms. All system's services, ranging from data gathering to data profiling, were developed using a community of autonomous agents with the ability to act together using a private data cloud as a cooperative environment. In this paper we present how the system was conceived, its functional architecture and services, and how agents were implemented, especially the ones related to the personalization of business dashboards.","","978-1-5090-2000-3978-1-5090-2001","10.1109/INTECH.2016.7845024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845024","Data Visualization;Multi-agent Systems;On-Line Analytical Processing;Usage Profiling;Adaptive Dashboards;JADE","Data visualization;Multi-agent systems;Decision making;Distance measurement;Companies","business data processing;cloud computing;data privacy;data visualisation;decision making","personalization system;data visualization platforms;decision-makers;critical business indicators;pertinent data;information analysis;business analysis;static software artifacts;data gathering;data profiling;autonomous agents;private data cloud;cooperative environment;business dashboards","","","","28","","","","","","IEEE","IEEE Conferences"
"Conceptual Framework and a Critical Review for Privacy Preservation in Context Aware Systems","A. A. Pandit; A. Kumar","NA; NA","2012 International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery","","2012","","","435","442","Advent of 4 G networks, IPv6 and increasing number of subscribers to these indicate that each mobile device will have its own IP address and virtually become a hotspot. In the coming years, systems that track and record our movements will indispensably be integrated in our everyday life. Location-based systems: dashboard navigation systems, Internet enabled smart phones with GPS features, and electronic tags that help us at various locations are extensively in use. In near future, location-aware/ context aware tools will become more common and sophisticated. Increasing number of services (apps)/devices that will track not only the location, but also the context / environment of the user will enter the market. The perils of exposure on Internet and subsequent exploitation have been widely recorded in literature. Some of the services provided do necessitate the knowledge of exact location, context and some personal details, like in case of assistance during accidents, but generally, applications like finding the restaurants or movies playing in an area do not require the exact location and context of the user. When a user's movement in public spaces is tracked and systematically recorded along with the context of his actions, his contextual privacy is under threat. This paper surveys current state of research in this area and analyses the effect of threat on the privacy of context aware system users. Based on the insight, we propose a novel framework to tackle the privacy preservation issue comprehensively: from user perspective as well as service provider perspective.","","978-1-4673-2624-7978-0-7695-4810","10.1109/CyberC.2012.79","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6385006","Context Aware System (CAS);Privacy Preservation;Privacy Preserving Framework;Architecture for CA Systems","Privacy;Context;Context-aware services;Mobile communication;Cryptography;Sensors;IP networks","4G mobile communication;computer network security;data privacy;Internet;protocols;ubiquitous computing","conceptual framework;critical review;privacy preservation;context aware systems;4G networks;IPv6;IP address;location based systems;dashboard navigation systems;Internet enabled smart phones;GPS features;electronic tags","","3","","40","","","","","","IEEE","IEEE Conferences"
"An IoT-Based Data Collection Platform for Situational Awareness-Centric Microgrids","S. Amir Alavi; A. Rahimian; K. Mehran; J. Alaleddin Mehr Ardestani","Queen Mary University of London, School of Electronic Engineering and Computer Science, London, El 4NS, UK; Queen Mary University of London, School of Electronic Engineering and Computer Science, London, El 4NS, UK; Queen Mary University of London, School of Electronic Engineering and Computer Science, London, El 4NS, UK; Department of Electrical Engineering, Shahid Beheshti University, Tehran, Iran","2018 IEEE Canadian Conference on Electrical & Computer Engineering (CCECE)","","2018","","","1","4","This paper presents a data collection architecture for situational awareness (SA)-centric microgrids. A prototype has been developed which can provide enormous data collection capabilities from smart meters, in order to realise an adequate SA level in microgrids. A communication framework based on the publish-subscribe model is also proposed and implemented for the communication layer of the SA using the message queuing telemetry transport (MQTT) protocol over two different physical (PHY) layers (i.e., WiFi and GPRS). An Internet of things (IoT) platform (i.e., Thingsboard) is used for the SA visualisation with a customised dashboard. It is shown by using the developed system, an adequate level of SA can be achieved with a minimum installation and hardware cost. Moreover, the Modbus protocol over the RS-485 is applied for the smart meter communication.","2576-7046","978-1-5386-2410-4978-1-5386-2409-8978-1-5386-2411","10.1109/CCECE.2018.8447718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8447718","Distributed computing and measurement;MQT-T;publish-subscribe model;situational awareness;smart grid","Protocols;Microgrids;Monitoring;Smart grids;Data collection;Smart meters;Publish-subscribe","distributed power generation;Internet of Things;message passing;middleware;power engineering computing;telemetry;transport protocols","IoT-based data collection platform;situational awareness-centric microgrids;data collection architecture;communication framework;communication layer;message queuing telemetry transport protocol;smart meter communication;RS-485;Modbus protocol;hardware cost;SA visualisation;MQTT protocol;publish-subscribe model;Internet of Things platform;physical layers;SA level","","","","19","","","","","","IEEE","IEEE Conferences"
"A practical student model for a location-aware and context-sensitive Personalized Adaptive Learning System","Guangbing Yang; Kinshuk; S. Graf","School of Computing and Information, Athabasca University, Canada; School of Computing and Information, Athabasca University, Canada; School of Computing and Information, Athabasca University, Canada","2010 International Conference on Technology for Education","","2010","","","130","133","Student model is an essential component in any adaptive learning environment. Various student modelling approaches have been suggested in the literature that focus on learners' competencies, preferences and other personal attributes. However, there is a lack of a comprehensive student model that combines various aspects of student modelling while also considering the aspects of location and context awareness that are important for emerging ubiquitous learning environments. This paper proposes one such student model in the context of a personalized adaptive learning system, namely Personalized Adaptive Learning Dashboard (PALD), a compound student model bringing together various features of the overlay, fault, and stereotype models to provide a generic approach to modeling student with specific domain related knowledge.","","978-1-4244-7361-8978-1-4244-7362","10.1109/T4E.2010.5550048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5550048","student model;personalization;adaptation;knowledge;student modeling","Context modeling;Adaptive systems;Learning systems;Adaptation model;Problem-solving;Context awareness;Content management;Environmental management;Knowledge management;Least squares approximation","computer aided instruction;mobile computing","practical student model;adaptive learning system;location awareness;context awareness;ubiquitous learning environments;personalized adaptive learning dashboard;domain related knowledge","","3","","16","","","","","","IEEE","IEEE Conferences"
"Visual steering and modeling environment for smart grid models and simulations","G. Chin; E. Fitzhenry; A. McBain; S. Beus; L. Marinovici; J. Hansen; K. Studarus","Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA","2017 IEEE Power & Energy Society General Meeting","","2017","","","1","5","We are developing the Visual Steering and Modeling Environment (VSME) to enable the visual control and steering of smart grid simulations as well as the visualization of simulation behaviors, conditions, and results. Visual steering will allow planners and operators to visually adjust the parameters to a suite of coordinated and dynamic smart grid simulations and immediately see the effects in multi-perspective visualizations. A configurable dashboard connects and integrates parameters, simulations, data, and visualizations into a combined and coherent display.","1944-9933","978-1-5386-2212-4978-1-5386-2211-7978-1-5386-2213","10.1109/PESGM.2017.8274093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274093","Power grid;smart grid;visualization;data visualization;power system simulation","Visualization;Geospatial analysis;Calculators;Spirals;Smart grids;Heating systems","data visualisation;power system simulation;smart power grids","visual steering;coordinated smart grid simulation;configurable dashboard;combined coherent display;multiperspective visualizations;dynamic smart grid simulations;simulation behaviors;visual control;smart grid models;modeling environment","","","","10","","","","","","IEEE","IEEE Conferences"
"Executive Dashboard as a Tool for Knowledge Discovery","N. Karna","NA","2017 International Conference on Soft Computing, Intelligent System and Information Technology (ICSIIT)","","2017","","","331","336","Every enterprise provides business processes to ensure information is delivered to the senior leaders, either automatically by system or by manual process. When this delivery is done by system, information is usually provided through an executive dashboard. Using executive dashboard, senior leaders can view company's vital information that related to business goal and make a quick decision based on this information. An executive dashboard is the tool to provide such information, however it usually designed with no flexibility so when there is a change in the information report, they will need to call the developer to change it. This research is aimed to design and implement an executive dashboard that provides flexibility, which can be configured by anyone without programming background. This research also pro-poses a mechanism on how to create an executive dashboard that supports a knowledge discovery capability.","","978-1-4673-9899-2978-1-4673-9900","10.1109/ICSIIT.2017.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8262591","flexible executive dashboard;knowledge disco-very;layering information retrieval;information extraction","Business;Knowledge discovery;Software;Tools;Data mining;Prediction algorithms;Filtering","business data processing;data mining","executive dashboard;senior leaders;information report;Knowledge Discovery;enterprise;business processes;business goal","","","","19","","","","","","IEEE","IEEE Conferences"
"SQA-Profiles: Rule-based activity profiles for Continuous Integration environments","M. Brandtner; S. C. Müller; P. Leitner; H. C. Gall","University of Zurich, Department of Informatics, Switzerland; University of Zurich, Department of Informatics, Switzerland; University of Zurich, Department of Informatics, Switzerland; University of Zurich, Department of Informatics, Switzerland","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","","2015","","","301","310","Continuous Integration (CI) environments cope with the repeated integration of source code changes and provide rapid feedback about the status of a software project. However, as the integration cycles become shorter, the amount of data increases, and the effort to find information in CI environments becomes substantial. In modern CI environments, the selection of measurements (e.g., build status, quality metrics) listed in a dashboard does only change with the intervention of a stakeholder (e.g., a project manager). In this paper, we want to address the shortcoming of static views with so-called Software Quality Assessment (SQA) profiles. SQA-Profiles are defined as rule-sets and enable a dynamic composition of CI dashboards based on stakeholder activities in tools of a CI environment (e.g., version control system). We present a set of SQA-Profiles for project management committee (PMC) members: Bandleader, Integrator, Gatekeeper, and Onlooker. For this, we mined the commit and issue management activities of PMC members from 20 Apache projects. We implemented a framework to evaluate the performance of our rule-based SQA-Profiles in comparison to a machine learning approach. The results showed that project-independent SQA-Profiles can be used to automatically extract the profiles of PMC members with a precision of 0.92 and a recall of 0.78.","1534-5351","978-1-4799-8469","10.1109/SANER.2015.7081840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081840","","Data mining;Software;Logic gates;Electronic mail;Control systems;Project management;Communities","knowledge based systems;software quality;source code (software)","SQA profile;software quality assessment;rule-based activity profile;continuous integration environment;CI;source code change;software project","","4","","24","","","","","","IEEE","IEEE Conferences"
"Measurement-driven dashboards enable leading indicators for requirements and design of large-scale systems","R. W. Selby","Northrop Grumman Space Technol., Redondo Beach, CA, USA","11th IEEE International Software Metrics Symposium (METRICS'05)","","2005","","","10 pp.","22","Measurement-driven dashboards provide a unifying mechanism for understanding, evaluating, and predicting the development, management, and economics of large-scale systems and processes. Dashboards enable interactive graphical displays of complex information and support flexible analytic capabilities for user customizability and extensibility. Dashboards commonly include software requirements and design metrics because they provide leading indicators for project size, growth, and stability. This paper focuses on dashboards that have been used on actual large-scale projects as well as example empirical relationships revealed by the dashboards. The empirical results focus on leading indicators for requirements and design of large-scale systems. In the first set of 14 projects focusing on requirements metrics, the ratio of software requirements to source-lines-of code averaged 1:46. Projects that far exceeded the 1:46 requirements-to-code ratio tended to be more effort-intensive and fault-prone during verification. In the second set of 16 projects focusing on design metrics, the components in the top quartile of the number of component internal states had 6.2 times more faults on average than did the components in the bottom quartile, after normalization by size. The components in the top quartile of the number of component interactions had 4.3 times more faults on average than did the components in the bottom quartile, after normalization by size. When the number of component internal states was in the bottom quartile, the component fault-proneness was low even when the number of component interactions was in the upper quartiles, regardless of size normalization. Measurement-driven dashboards reveal insights that increase visibility into large-scale systems and provide feedback to organizations and projects","1530-1435","0-7695-2371","10.1109/METRICS.2005.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1509300","","Large-scale systems;Displays;Project management;Space technology;Information analysis;Feedback;Data analysis;Extraterrestrial measurements;Technology management;Economic forecasting","formal specification;formal verification;large-scale systems;object-oriented programming;software metrics;visual programming","measurement-driven dashboards;system requirements;system design;large-scale systems;system understanding;system evaluation;system development;system management;system economics;interactive graphical display;software requirements;design metrics;system verification;component interaction","","1","","27","","","","","","IEEE","IEEE Conferences"
"Device Cloud platform with customizable Remote User Interfaces","S. Radovanović; B. Majstorović; S. Kukolj; M. Z. Bjelica","RT-RK Institute for Computer Based Systems, Novi Sad, Serbia; RT-RK Institute for Computer Based Systems, Novi Sad, Serbia; RT-RK Institute for Computer Based Systems, Novi Sad, Serbia; Faculty of technical Sciences, University of Novi Sad), Serbia","2014 IEEE Fourth International Conference on Consumer Electronics Berlin (ICCE-Berlin)","","2014","","","202","204","In this paper a concept and implementation of a Device Cloud with customizable generation of remote user interfaces is presented. The proposed solution allows adapting device dashboards in frontend applications connected to the Device Cloud, through a model-based approach in Internet of Things. Some of the main contributions to the state-of-the-art are customizable Remote User Interfaces through the TR-069 communication protocol with low communication overhead and advanced configuration and monitoring features such as problem solution mechanism and cross-device analytics.","2166-6814;2166-6822","978-1-4799-6165","10.1109/ICCE-Berlin.2014.7034231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7034231","internet of things;device cloud;remote user interface;device dashboard;TR-069","Data models;User interfaces;Cloud computing;Protocols;Internet of things;Security","cloud computing;Internet of Things;protocols;user interfaces","device cloud platform;customizable remote user interfaces;device dashboards;Internet of Things;TR-069 communication protocol;low communication overhead;problem solution mechanism;cross-device analytics","","","","9","","","","","","IEEE","IEEE Conferences"
"Data — Driven visualisations that make sense","H. O. Obie","Swinburne University of Technology, Melbourne, Australia","2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","","2017","","","313","314","An obstacle for users engaged in data analysis task is determining the most useful way to visually represent their particular datasets. For users with little background in data analytics, this is mostly done through a trial-and-error process. My focus is on investigating appropriate techniques for automatically generating visualisations that help in identifying inconsistencies in data; explicit modelling and visualisation of user hypotheses; and automatically generating and selecting visualisations that would help users accomplish data analysis tasks. The resulting platform would be a software prototype that would ingest data, understand user hypothesis, and then intelligently recommend dashboards with the best-suited visualisations to form a visual story-telling scenario.","1943-6106","978-1-5386-0443-4978-1-5386-0444","10.1109/VLHCC.2017.8103486","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103486","","Data visualization;Visualization;Tools;Urban areas;Data analysis;Temperature sensors","data analysis;data visualisation","data analysis task;data analytics;appropriate techniques;explicit modelling;user hypothesis;data-driven visualisations;trial-and-error process;user hypotheses visualization;software prototype;dashboard recommendation;visual story-telling scenario","","1","","6","","","","","","IEEE","IEEE Conferences"
"Learning Analytics and Formative Assessment to Provide Immediate Detailed Feedback Using a Student Centered Mobile Dashboard","N. R. Aljohani; H. C. Davis","NA; NA","2013 Seventh International Conference on Next Generation Mobile Apps, Services and Technologies","","2013","","","262","267","The 'immediacy' of feedback on academic performance is a common characteristic shared by both Learning Analytics (LA) and Formative Assessment (FA), and such immediacy could be facilitated by supporting the mobility of learners. However, there is little literature that investigates the significance of combining these two techniques. Therefore, this paper will discuss the analytical application called Quiz My Class Understanding (QMCU) which was purposely developed to investigate the significance of the combination between LA and FA techniques in order to provide students with immediate detailed feedback. Furthermore, it reports on a case study which reflects the role QMCU students' centered mobile dashboard in increasing the students' engagement with the QMCU dashboard.","2161-2889;2161-2897","978-1-4799-2010","10.1109/NGMAST.2013.54","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658135","Learning Analytics;Mobile Learning Analytics Formative Assessment;Mobile Formative Assessment;Immediate Feedback","Mobile communication;Educational institutions;Mobile handsets;Taxonomy;Materials;Performance evaluation","computer aided instruction;mobile computing","learning analytics;formative assessment;academic performance;quiz-my-class understanding application;analytical application;LA technique;FA technique;immediate-detailed feedback;student engagement improvement;QMCU student-centered mobile dashboard","","6","","21","","","","","","IEEE","IEEE Conferences"
"A Metrics Generation Model for Measuring the Control Objectives of Information Systems Audit","M. Nicho; B. Cusack","Auckland University of Technology, New Zealand; Auckland University of Technology, New Zealand","2007 40th Annual Hawaii International Conference on System Sciences (HICSS'07)","","2007","","","235c","235c","Information technology governance (ITG) which was a relatively new concept in the late 1990s, has gained importance in the 21st century due to factors namely the collapse of Enron Inc, and the need for a better reporting and financial disclosure system as requested by the US Securities and Exchange Commission chairman in 2001. Subsequent legislations namely the Sarbanes Oxley Act (SOX) in the United States and the Turnbull Guidance in the United Kingdom provided further impetus for the need for ITG. Other factors that prompt companies to give more importance to the management, control and measurement of information systems include the risk associated with information, the investments made by companies into the IT resource and the need to be competitive in the marketplace. All of these factors emphasize the requirement to measure the performance or effectiveness of information systems. The state of performance of various entities, events and process of information systems give a 'dashboard approach' vision to management. In this paper a metrics generation model is proposed for generating metrics that can measure the key performance indicators and goals of the control objectives of CoBIT by applying the GQM model","1530-1605","0-7695-2755","10.1109/HICSS.2007.21","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4076858","","Information systems;Management information systems;Information technology;Resource management;Risk management;Software measurement;Code standards;Standards development;Information security;Control systems","auditing;DP management;information systems;software metrics","software metrics generation model;control objective measures;information systems audit;information technology governance;dashboard approach;CoBIT;GQM model","","4","","55","","","","","","IEEE","IEEE Conferences"
"IoT Based Energy Consumption Monitoring Platform for Industrial Processes","S. Gan; K. Li; Y. Wang; C. Cameron","School of Electronic and Electrical Engineering, University of Leeds; School of Electronic and Electrical Engineering, University of Leeds; School of Electronic and Electrical Engineering, University of Leeds; School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast","2018 UKACC 12th International Conference on Control (CONTROL)","","2018","","","236","240","Reducing the energy consumption is a major concern faced by industries worldwide to improve the economic performance while to reduce its CO2 footprint, and monitoring the energy usage at the component level is essential [1]. This paper presents a design of an IoT (Internet of Things) based interactive system which combines non-invasive sensors and data acquisition apparatus, robust communication networks, clouds-based databases and web servers to achieve real-time monitoring of energy usage in industries. The collected energy consumption data are published to the data centre automatically through the wireless communication network using the MQTT protocol, while a web server driven by Apache is developed to provide a human-data interaction dashboard in B/S (Browser I Server) structure. The system can not only assist industrial energy management but also provide a platform to improve energy-saving, emission reduction, along with other potentials. The system has been implemented in a local bakery company, confirming its applicability for remote real-time monitoring of energy consumption in the industry.","","978-1-5386-2864-5978-1-5386-2865-2978-1-5090-6411","10.1109/CONTROL.2018.8516828","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516828","","Industries;Monitoring;Meters;Energy consumption;Servers;Protocols;Sensors","cloud computing;computerised monitoring;data acquisition;energy consumption;energy measurement;food processing industry;Internet of Things;manufacturing processes;production engineering computing;protocols","energy consumption monitoring platform;industrial processes;Internet of Things;data acquisition apparatus;robust communication networks;clouds-based databases;wireless communication network;human-data interaction dashboard;industrial energy management;IoT based energy consumption monitoring;noninvasive sensor;web servers;MQTT protocol;browser-server structure;local bakery company","","","","12","","","","","","IEEE","IEEE Conferences"
"Data analytics and production efficiency evaluation on a flexible manufacturing cell","F. Giusti; M. Bevilacqua; S. Tedeschi; C. Emmanouilidis","Cranfield University, Cranfield, Bedfordshire, MK430AL, United Kingdom; Cranfield University, Cranfield, Bedfordshire, MK430AL, United Kingdom; Cranfield University, Cranfield, Bedfordshire, MK430AL, United Kingdom; Cranfield University, Cranfield, Bedfordshire, MK430AL, United Kingdom","2018 IEEE International Instrumentation and Measurement Technology Conference (I2MTC)","","2018","","","1","6","Industry 4.0 is changing the manufacturing landscape towards smart and digital manufacturing. As a result, manufacturing companies will be capable to improve productivity while reducing lead time and costs. Nevertheless, manufacturers' skepticism about the benefits provided by Industry 4.0 still represents a barrier to its diffusion. The aim of this work is to demonstrate how Internet of Things and Analytics technologies can bring benefits regarding remote performance monitoring. The intended aim is achieved through the development of a monitoring system concept and its concrete implementation on a Festo Flexible Mechatronics System (MPS 202), a small-scale automated production line. The integration and connection of various sensors allow data collection and communication to a cloud infrastructure, where data are processed and analyzed. Data analytics can highlight key performance metrics that are visualized and streamed on a dashboard, facilitating the understanding of process conditions. The system generates alarms on mobile devices in case of anomalies in the Festo system, allowing users to immediately realize whether an undesired event is occurring in the system. The monitoring system enhances process performance awareness, as key performance metrics such as productivity, cycle time and parts produced are displayed, the cloud infrastructure enables remote visualization and monitoring. This work aims to demonstrate how the implementation of simple and inexpensive IoT devices represents an efficient way to provide new monitoring capabilities for legacy machines.","","978-1-5386-2222-3978-1-5386-2223","10.1109/I2MTC.2018.8409677","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8409677","Industry 4.0;IoT;production management;visual management;remote monitoring;cloud computing;process management;performance monitoring","Monitoring;Manufacturing;Industries;Production;Companies;Performance evaluation;Maintenance engineering","cloud computing;data analysis;flexible manufacturing systems;Internet of Things;mechatronics;production engineering computing","data analytics;process conditions;Festo system;process performance awareness;cycle time;cloud infrastructure;remote visualization;production efficiency evaluation;flexible manufacturing cell;smart manufacturing;digital manufacturing;remote performance monitoring;monitoring system concept;Festo Flexible Mechatronics System;MPS 202;small-scale automated production line;data collection;legacy machines;Internet of Things","","","","12","","","","","","IEEE","IEEE Conferences"
"How Teachers Make Dashboard Information Actionable","I. Molenaar; C. Knoop-van Campen","behavioural science institute, Radboud University, nijmegen, gelderland Netherlands (e-mail: i.molenaar@pwo.ru.nl); behavioural science institute, Radboud University, nijmegen, gelderland Netherlands (e-mail: c.knoop-vancampen@bsi.ru.nl)","IEEE Transactions on Learning Technologies","","2018","PP","99","1","1","This study investigates how teachers use dashboards in primary school classrooms. While learners practice on a tablet real-time data indicating learner progress and performance is displayed on teacher dashboards. This study examines how teachers use the dashboards, applying Verberts&#x0027; learning analytics process model. Teacher dashboard consultations and resulting pedagogical actions were observed in 38 mathematics lessons. In stimulated recall interviews, the 38 teachers were asked to elaborate on how they reflect on and make sense of the information on the dashboard. The results showed that teachers consulted the dashboard on average 8.3 times per lesson. Teachers activated existing knowledge about students and the class to interpret dashboard information. Task and process feedback were the pedagogical actions most often used following dashboard consultation. Additionally, teachers who consulted the dashboard more often activated more and more diverse pedagogical knowledge to interpret the data and, consequently, gave more and more diverse feedback. These results indicated that teacher dashboards were indeed influencing teachers&#x0027; pedagogical actions in their daily classroom activities. This study provided the first evidence that dashboards progressively impact teaching practice and initiate more profound behavioral changes as teachers become more proficient in using them.","1939-1382;2372-0050","","10.1109/TLT.2018.2851585","Kennisnet; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8400475","Adaptive learning technologies;learning analytics;dashboards;technology enhanced learning","Analytical models;Education;Instruments;Reflection;Mathematics;Real-time systems;Task analysis","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"A Framework for Descriptive Models Quality Assessment","D. Ernadote","Airbus Defence and Space","2018 IEEE International Systems Engineering Symposium (ISSE)","","2018","","","1","7","Numerous systems engineering projects use descriptive models structured by standard metamodels such as SysML, UML, or NAF. Model-based systems engineering is now so well established in the world of systems engineering that there is no longer questions about the usefulness of such modeling activities. However, it is still difficult to determine what is the current level of quality and how far the models are from the expected project objectives. This paper proposes a framework which reduces the pain of elaborating a quality process aside of the main systems engineering tasks so that a project manager can quickly be aware of the modeling progress statuses. The proposed framework is based on a modeling method which is itself modeled so that to allow a predefined set of modeling artefacts self-learning the quality aspects, and generating the appropriate dashboards at different levels of details.","","978-1-5386-4446-1978-1-5386-4447","10.1109/SysEng.2018.8544381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8544381","Model Quality Assessment;MBSE;Model-Based Systems Engineering;Systems Engineering;Operations Research","Unified modeling language;Mathematical model;Quality assessment;Standards;Data models","description logic;project management;systems engineering;Unified Modeling Language","modeling activities;expected project objectives;quality process;project manager;quality aspects;descriptive models quality assessment;numerous systems engineering projects;standard metamodels;model-based systems engineering;longer questions;SysML;UML;NAF;artefacts self-learning;progress statuses","","","","18","","","","","","IEEE","IEEE Conferences"
"Workplace learning analytics in higher engineering education","E. van der Stappen","Institute for ICT, HU University of Applied Sciences Utrecht, Utrecht, the Netherlands","2018 IEEE Global Engineering Education Conference (EDUCON)","","2018","","","15","20","Learning in the workplace is crucial in higher engineering education, since it allows students to transfer knowledge and skills from university to professional engineering practice. Learning analytics endeavors in higher education have primarily focused on classroom-based learning. Recently, workplace learning analytics has become an emergent research area, with target users being workers, students and trainers. We propose technology for workplace learning analytics that allows program managers of higher engineering education programs to get insight into the workplace learning of their students, while ensuring privacy of students' personal data by design. Using a design-based agile methodology, we designed and developed a customizable workplace learning dashboard. From the evaluation with program managers in the computing domain, we can conclude that such technology is feasible and promising. The proposed technology was designed to be generalizable to other (engineering) domains. A next logical step would be to evaluate and improve the proposed technology within other engineering domains.","2165-9567","978-1-5386-2957-4978-1-5386-2958","10.1109/EDUCON.2018.8363102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363102","Workplace Learning;Learning Analytics;Data-Driven Curriculum Improvement","Hafnium;Engineering education;Conferences","computer aided instruction;educational institutions;engineering education;further education","professional engineering practice;workplace learning analytics;higher engineering education programs;customizable workplace learning dashboard;design-based agile methodology;student personal data privacy","","","","19","","","","","","IEEE","IEEE Conferences"
