Authors,Title,Year,Source title,DOI,Link,Document Type,Source
"Hoogeveen I.J., Peeks F., de Boer F., Lubout C.M.A., de Koning T.J., te Boekhorst S., Zandvoort R.-J., Burghard R., van Spronsen F.J., Derks T.G.J.","A preliminary study of telemedicine for patients with hepatic glycogen storage disease and their healthcare providers: from bedside to home site monitoring",2018,"Journal of Inherited Metabolic Disease","10.1007/s10545-018-0167-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044517750&doi=10.1007%2fs10545-018-0167-2&partnerID=40&md5=4dad655c6de0a52aaf870a4405657322",Article,Scopus
"Kraus S., Drescher C., Sedlmayr M., Castellanos I., Prokosch H.-U., Toddenroth D.","Using Arden Syntax for the creation of a multi-patient surveillance dashboard",2018,"Artificial Intelligence in Medicine","10.1016/j.artmed.2015.09.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949651809&doi=10.1016%2fj.artmed.2015.09.009&partnerID=40&md5=5fbf12ea7499657c349920cb079f5a1e",Article,Scopus
"Van Zijl F.V.W.J., Versnel S., Van Der Poel E.F., Baatenburg De Jong R.J., Datema F.R.","Use of routine prospective functional and aesthetic patient satisfaction measurements in secondary cleft lip rhinoplasty",2018,"JAMA Facial Plastic Surgery","10.1001/jamafacial.2018.0876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052933354&doi=10.1001%2fjamafacial.2018.0876&partnerID=40&md5=1006502a6ad1925b4c02c3b1a4b0453b",Article,Scopus
"Gan S., Li K., Wang Y., Cameron C.","IoT Based Energy Consumption Monitoring Platform for Industrial Processes",2018,"2018 UKACC 12th International Conference on Control, CONTROL 2018","10.1109/CONTROL.2018.8516828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056843698&doi=10.1109%2fCONTROL.2018.8516828&partnerID=40&md5=2cbcaaa6975e3236deb8c5ff5bee11f1",Conference Paper,Scopus
"Ivanov V., Pischulin V., Rogers A., Succi G., Yi J., Zorin V.","Design and validation of precooked developer dashboards",2018,"ESEC/FSE 2018 - Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","10.1145/3236024.3275530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058287179&doi=10.1145%2f3236024.3275530&partnerID=40&md5=db3fc651fe0f11aa7d4df28f0fc69ab6",Conference Paper,Scopus
"Vázquez-Ingelmo A., García-Peñalvo F.J., Therón R.","Domain engineering for generating dashboards to analyze employment and employability in the academic context",2018,"ACM International Conference Proceeding Series","10.1145/3284179.3284329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058519404&doi=10.1145%2f3284179.3284329&partnerID=40&md5=2a0fca9e4377c95345091926a10c9909",Conference Paper,Scopus
"Pandey R., Purohit H.","Citizenhelper-adaptive: Expert-augmented streaming analytics system for emergency services and humanitarian organizations",2018,"Proceedings of the 2018 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2018","10.1109/ASONAM.2018.8508374","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057296830&doi=10.1109%2fASONAM.2018.8508374&partnerID=40&md5=2046c5e0c45cce62400c0ad09c19aaad",Conference Paper,Scopus
"Lingayat A., Singh A., Naik V., Badre R.R., Gupta A.K.","Horizon, a Web-Based User Interface for Managing Services in OpenStack: An Introspection",2018,"2018 9th International Conference on Computing, Communication and Networking Technologies, ICCCNT 2018","10.1109/ICCCNT.2018.8493661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056879160&doi=10.1109%2fICCCNT.2018.8493661&partnerID=40&md5=403018e5e941967c75a8ad40864c57c8",Conference Paper,Scopus
"Perez-Colado I.J., Rotaru D.C., Freire-Moran M., Martinez-Ortiz I., Fernandez-Manjon B.","Multi-level game learning analytics for serious games",2018,"2018 10th International Conference on Virtual Worlds and Games for Serious Applications, VS-Games 2018 - Proceedings","10.1109/VS-Games.2018.8493435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057309151&doi=10.1109%2fVS-Games.2018.8493435&partnerID=40&md5=ca60be4c3e83ae87f09d4ebabb3887a6",Conference Paper,Scopus
"Lieffers J.R.L., Valaitis R.F., George T., Wilson M., Macdonald J., Hanning R.M.","A qualitative evaluation of the eaTracker® mobile app",2018,"Nutrients","10.3390/nu10101462","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055483618&doi=10.3390%2fnu10101462&partnerID=40&md5=a3eb2d8cb763e7babbd91bbb44b51ec5",Article,Scopus
"Kumar K., Bose J., Soni S.K.","A Generic Visualization Framework based on a Data Driven Approach for the Analytics data",2018,"2017 14th IEEE India Council International Conference, INDICON 2017","10.1109/INDICON.2017.8487236","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056375043&doi=10.1109%2fINDICON.2017.8487236&partnerID=40&md5=9b4117d7ae2453b42b28033d7030f754",Conference Paper,Scopus
"Ryskina K., Jessica Dine C., Gitelman Y., Leri D., Patel M., Kurtzman G., Lin L.Y., Epstein A.J.","Effect of Social Comparison Feedback on Laboratory Test Ordering for Hospitalized Patients: A Randomized Controlled Trial",2018,"Journal of general internal medicine","10.1007/s11606-018-4482-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050366892&doi=10.1007%2fs11606-018-4482-y&partnerID=40&md5=625445a6abb03ca94f20e2eacf473eec",Article,Scopus
"Avvenuti M., Cresci S., Del Vigna F., Fagni T., Tesconi M.","CrisMap: a Big Data Crisis Mapping System Based on Damage Detection and Geoparsing",2018,"Information Systems Frontiers","10.1007/s10796-018-9833-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044335680&doi=10.1007%2fs10796-018-9833-z&partnerID=40&md5=36fab29589d26c09c6c7c92384f46e10",Article,Scopus
"Huber T.C., Krishnaraj A., Monaghan D., Gaskin C.M.","Developing an Interactive Data Visualization Tool to Assess the Impact of Decision Support on Clinical Operations",2018,"Journal of Digital Imaging","10.1007/s10278-018-0065-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047150357&doi=10.1007%2fs10278-018-0065-z&partnerID=40&md5=32c491933c1d163b0621d9dce168ea64",Article,Scopus
"Heikkilä P., Honka A., Kaasinen E.","Quantified factory worker: Designing a worker feedback dashboard",2018,"ACM International Conference Proceeding Series","10.1145/3240167.3240187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056609721&doi=10.1145%2f3240167.3240187&partnerID=40&md5=9f471f2e27a402bed34eb8bd362c30bb",Conference Paper,Scopus
"Eiamboonsert P., Taongern S., Nuamsiri W., Pengsart P., Mongkolwat P.","DCollective: A Configurable Electronic Data Collection Form and Information Dashboard",2018,"Proceeding of 2018 15th International Joint Conference on Computer Science and Software Engineering, JCSSE 2018","10.1109/JCSSE.2018.8457327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057769211&doi=10.1109%2fJCSSE.2018.8457327&partnerID=40&md5=7a410f60d8e759fa59424a1cb863d801",Conference Paper,Scopus
"Cardoso A., Vieira Teixeira C.J., Sousa Pinto J.","Architecture for highly configurable dashboards for operations monitoring and support",2018,"Studies in Informatics and Control","10.24846/v27i3y201807","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055041821&doi=10.24846%2fv27i3y201807&partnerID=40&md5=67b9f655b79c1adc53e41022a92e9363",Article,Scopus
"Chuang Y.-C., Hu S.-K., Liou J.J.H., Lo H.-W.","Building a decision dashboard for improving green supply chain management",2018,"International Journal of Information Technology and Decision Making","10.1142/S0219622018500281","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047810390&doi=10.1142%2fS0219622018500281&partnerID=40&md5=c824cd94050dfdaffdbcf3f0642c638e",Article,Scopus
"Nair H.K.R.","Increasing productivity with smartphone digital imagery wound measurements and analysis",2018,"Journal of Wound Care","10.12968/jowc.2018.27.Sup9a.S12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053443588&doi=10.12968%2fjowc.2018.27.Sup9a.S12&partnerID=40&md5=7e83e78220e7beb52cd4660db9ece81f",Article,Scopus
"McEachran A.D., Mansouri K., Grulke C., Schymanski E.L., Ruttkies C., Williams A.J.","""MS-Ready"" structures for non-targeted high-resolution mass spectrometry screening studies",2018,"Journal of Cheminformatics","10.1186/s13321-018-0299-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052550064&doi=10.1186%2fs13321-018-0299-2&partnerID=40&md5=3bf90e6329a46ffc623ae1aa5ad8d9a4",Article,Scopus
"Amir Alavi S., Rahimian A., Mehran K., Alaleddin Mehr Ardestani J.","An IoT-Based Data Collection Platform for Situational Awareness-Centric Microgrids",2018,"Canadian Conference on Electrical and Computer Engineering","10.1109/CCECE.2018.8447718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053639278&doi=10.1109%2fCCECE.2018.8447718&partnerID=40&md5=ac7642fff199bb834b97a083d4fe4a3d",Conference Paper,Scopus
"Greco M., Martino G.","1-D versus 2-D entropy velocity law for water discharge assessment in a rough ditch",2018,"Entropy","10.3390/e20090638","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053687844&doi=10.3390%2fe20090638&partnerID=40&md5=bbb70799fbb48267b43f7c556937ae4a",Article,Scopus
"Ma M., Stankovic J.A., Feng L.","CityResolver: A Decision Support System for Conflict Resolution in Smart Cities",2018,"Proceedings - 9th ACM/IEEE International Conference on Cyber-Physical Systems, ICCPS 2018","10.1109/ICCPS.2018.00014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053533008&doi=10.1109%2fICCPS.2018.00014&partnerID=40&md5=d8d27f5ad63412ac12f46bf1608f2d81",Conference Paper,Scopus
"McGlothlin J.P.","Accelerating analytics for clinical pathways to drive cost reduction and quality improvement",2018,"Proceedings - 2018 IEEE 19th International Conference on Information Reuse and Integration for Data Science, IRI 2018","10.1109/IRI.2018.00069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052287570&doi=10.1109%2fIRI.2018.00069&partnerID=40&md5=1b57232320035e5b2e376a1ec77f35a1",Conference Paper,Scopus
"Yalçin M.A., Elmqvist N., Bederson B.B.","Keshif: Rapid and Expressive Tabular Data Exploration for Novices",2018,"IEEE Transactions on Visualization and Computer Graphics","10.1109/TVCG.2017.2723393","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023173088&doi=10.1109%2fTVCG.2017.2723393&partnerID=40&md5=c2c0f02a8bd115ee674dd395d54965eb",Article,Scopus
"Bollaerts K., De Smedt T., Donegan K., Titievsky L., Bauchau V.","Benefit–Risk Monitoring of Vaccines Using an Interactive Dashboard: A Methodological Proposal from the ADVANCE Project",2018,"Drug Safety","10.1007/s40264-018-0658-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044464530&doi=10.1007%2fs40264-018-0658-y&partnerID=40&md5=15730ff6ef4d9bbbd1de3b6f10cc71ae",Article,Scopus
"Pratama I.P.A., Linawati, Sastra N.P.","Token-based single sign-on with JWT as information system dashboard for government",2018,"Telkomnika (Telecommunication Computing Electronics and Control)","10.12928/TELKOMNIKA.v16i4.8388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049868749&doi=10.12928%2fTELKOMNIKA.v16i4.8388&partnerID=40&md5=7ab1bc163558fc5a890ad6fc2fb41315",Article,Scopus
"Martinez D.A., Kane E.M., Jalalpour M., Scheulen J., Rupani H., Toteja R., Barbara C., Bush B., Levin S.R.","An Electronic Dashboard to Monitor Patient Flow at the Johns Hopkins Hospital: Communication of Key Performance Indicators Using the Donabedian Model",2018,"Journal of Medical Systems","10.1007/s10916-018-0988-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048714534&doi=10.1007%2fs10916-018-0988-4&partnerID=40&md5=e76b2587719fece6288c7653431d884d",Article,Scopus
"Alonso G.T., Hink R., De Georgeo M.R., Vidal K., Thomas S., Swaschnig D., Spiegel G., Owen S., Thurston J., Pyle L., Slover R.","Improving the Insulin Pump Initiation Process for Pediatric Patients with Type 1 Diabetes through Application of Lean Quality Improvement Methods",2018,"The Permanente journal","10.7812/TPP/17-147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059798580&doi=10.7812%2fTPP%2f17-147&partnerID=40&md5=1b4b349d3822ca59cca542b89a8e64e2",Article,Scopus
"Giusti F., Bevilacqua M., Tedeschi S., Emmanouilidis C.","Data analytics and production efficiency evaluation on a flexible manufacturing cell",2018,"I2MTC 2018 - 2018 IEEE International Instrumentation and Measurement Technology Conference: Discovering New Horizons in Instrumentation and Measurement, Proceedings","10.1109/I2MTC.2018.8409677","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050769364&doi=10.1109%2fI2MTC.2018.8409677&partnerID=40&md5=06161809a80aef4244ae98d38e24b39f",Conference Paper,Scopus
"Arjun S.","Personalizing data visualization and interaction",2018,"UMAP 2018 - Adjunct Publication of the 26th Conference on User Modeling, Adaptation and Personalization","10.1145/3213586.3213590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051468662&doi=10.1145%2f3213586.3213590&partnerID=40&md5=3226c4ef11650be6d9eff1ff86554ee8",Conference Paper,Scopus
"Toasa R., Maximiano M., Reis C., Guevara D.","Data visualization techniques for real-time information - A custom and dynamic dashboard for analyzing surveys' results",2018,"Iberian Conference on Information Systems and Technologies, CISTI","10.23919/CISTI.2018.8398641","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049905844&doi=10.23919%2fCISTI.2018.8398641&partnerID=40&md5=9aed5ec7c68bf22f6587131a5958b472",Conference Paper,Scopus
"Hadgu A.T., Abualhaija S., Niederée C.","Sover! Social media observer",2018,"41st International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2018","10.1145/3209978.3210173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051512870&doi=10.1145%2f3209978.3210173&partnerID=40&md5=2a06a37db4d31e5239cda89a4b9fde87",Conference Paper,Scopus
"Ngamjarussrivichai P., Jeemali P., Panitsettakorn W.","Designing an online marketing investment evaluation system case study of cosmetics manufacturing company",2018,"Proceedings of 2018 5th International Conference on Business and Industrial Research: Smart Technology for Next Generation of Information, Engineering, Business and Social Science, ICBIR 2018","10.1109/ICBIR.2018.8391243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050165239&doi=10.1109%2fICBIR.2018.8391243&partnerID=40&md5=fa37ebb90ce379c6ade6f79dba555065",Conference Paper,Scopus
"Noonpakdee W., Khunkornsiri T., Phothichai A., Danaisawat K.","A framework for analyzing and developing dashboard templates for small and medium enterprises",2018,"2018 5th International Conference on Industrial Engineering and Applications, ICIEA 2018","10.1109/IEA.2018.8387148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050114645&doi=10.1109%2fIEA.2018.8387148&partnerID=40&md5=1337309ec7e1f7fcf3053e49995c6691",Conference Paper,Scopus
"Iyer G., DuttaDuwarah S., Sharma A.","DataScope: Interactive visual exploratory dashboards for large multidimensional data",2018,"2017 IEEE Workshop on Visual Analytics in Healthcare, VAHC 2017","10.1109/VAHC.2017.8387496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050148564&doi=10.1109%2fVAHC.2017.8387496&partnerID=40&md5=5655f5da2a78c00cc9d6e8fe14daf37e",Conference Paper,Scopus
"Wahl A.M., Endler G., Schwab P.K., Rith J., Herbst S., Lenz R.","A graph-based framework for analyzing SQL query logs",2018,"Proceedings of the 1st ACM SIGMOD Joint International Workshop on Graph Data Management Experiences and Systems (GRADES) and Network Data Analytics (NDA), GRADES-NDA 2018","10.1145/3210259.3210270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050300460&doi=10.1145%2f3210259.3210270&partnerID=40&md5=1675b52a10d885bd08a730a9efe45f3a",Conference Paper,Scopus
"Fautrel B., Alten R., Kirkham B., de la Torre I., Durand F., Barry J., Holzkaemper T., Fakhouri W., Taylor P.C.","Call for action: how to improve use of patient-reported outcomes to guide clinical decision making in rheumatoid arthritis",2018,"Rheumatology International","10.1007/s00296-018-4005-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044227494&doi=10.1007%2fs00296-018-4005-5&partnerID=40&md5=bcfa01dd91bb79f76cc3befad3634eb4",Review,Scopus
"Savini L., Tora S., Di Lorenzo A., Cioci D., Monaco F., Polci A., Orsini M., Calistri P., Conte A.","A web geographic information system to share data and explorative analysis tools: The application to West Nile disease in the Mediterranean basin",2018,"PLoS ONE","10.1371/journal.pone.0196429","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049155127&doi=10.1371%2fjournal.pone.0196429&partnerID=40&md5=f71415f0ddd103be21541c0b1f89174b",Article,Scopus
"Mirkovic J., Jessen S., Kristjansdottir O.B., Krogseth T., Koricho A.T., Ruland C.M.","Developing technology to mobilize personal strengths in people with chronic illness: Positive codesign approach",2018,"Journal of Medical Internet Research","10.2196/10774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048855449&doi=10.2196%2f10774&partnerID=40&md5=db6b9055de82d8c0f5b8ab4193892167",Article,Scopus
"Reddy P.M., Iyer J.","Effective collaboration across the globe through digital dash boards and machine learning",2018,"Proceedings - International Conference on Software Engineering","10.1145/3196369.3196391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051544507&doi=10.1145%2f3196369.3196391&partnerID=40&md5=1db0914241bc8c746677c681d387b301",Conference Paper,Scopus
"Van Der Stappen E.","Workplace learning analytics in higher engineering education",2018,"IEEE Global Engineering Education Conference, EDUCON","10.1109/EDUCON.2018.8363102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048142985&doi=10.1109%2fEDUCON.2018.8363102&partnerID=40&md5=d60995ee05ad3a5d61996e07f595bc0d",Conference Paper,Scopus
"Lamest M., Brady M.","Data-focused managerial challenges within the hotel sector",2018,"Tourism Review","10.1108/TR-03-2017-0064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047118927&doi=10.1108%2fTR-03-2017-0064&partnerID=40&md5=d8096e2ac6bc16e8de235dfb5fd02d5f",Article in Press,Scopus
"Kumar S.M., Belwal M.","Performance dashboard: Cutting-edge business intelligence and data visualization",2018,"Proceedings of the 2017 International Conference On Smart Technology for Smart Nation, SmartTechCon 2017","10.1109/SmartTechCon.2017.8358558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048045201&doi=10.1109%2fSmartTechCon.2017.8358558&partnerID=40&md5=bfcf209166d7836122b22808d6844a8c",Conference Paper,Scopus
"Bemposti M.L., Grottt E.","The Energica dashboard reinvented through professional 3D printing and composite materials",2018,"JEC Composites Magazine",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047638159&partnerID=40&md5=4d2071fad319a26dd46fd45daeabd73f",Article,Scopus
"Mehra S., Visser B., Dadema T., Van Den Helder J., Engelbert R.H.H., Weijs P.J.M., Kröse B.J.A.","Translating behavior change principles into a blended exercise intervention for older adults: Design study",2018,"Journal of Medical Internet Research","10.2196/resprot.9244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047570254&doi=10.2196%2fresprot.9244&partnerID=40&md5=52e4e97adb4df9619a58bf533431613c",Article,Scopus
"Yera A., Muguerza J., Arbelaitz O., Perona I., Williams R., Peek N., Keers R., Ashcroft D., Jay C., Vigo M.","Inferring visual behaviour from user interaction data on a medical dashboard",2018,"ACM International Conference Proceeding Series","10.1145/3194658.3194676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047189701&doi=10.1145%2f3194658.3194676&partnerID=40&md5=033d04ee0fc5c4b86d66515f78901249",Conference Paper,Scopus
"Simon B., Resch G., Coleman B., Ratto M.","Secret lives of data publics: Mixed reality smart city interfaces",2018,"Conference on Human Factors in Computing Systems - Proceedings","10.1145/3170427.3170629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052024645&doi=10.1145%2f3170427.3170629&partnerID=40&md5=4dc9d973eeef6244dc65fc5d4fa622be",Conference Paper,Scopus
"Mischo W.H., Schlembach M.C.","A system for generating research impact visualizations over medical research groups",2018,"Journal of Electronic Resources in Medical Libraries","10.1080/15424065.2018.1507773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053658429&doi=10.1080%2f15424065.2018.1507773&partnerID=40&md5=c188bdee07ebd324336a43ba4ef88914",Article,Scopus
"Aldea A., Iacob M.-E., van Hillegersberg J., Quartel D., Franken H.","Strategy on a Page: An ArchiMate-based tool for visualizing and designing strategy",2018,"Intelligent Systems in Accounting, Finance and Management","10.1002/isaf.1423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045395797&doi=10.1002%2fisaf.1423&partnerID=40&md5=9cfd767f706b623ff700af5c510eeab0",Article,Scopus
"LeGrand S., Muessig K.E., Platt A., Soni K., Egger J.R., Nwoko N., McNulty T., Hightow-Weidman L.B.","Epic allies, a gamified mobile phone app to improve engagement in care, antiretroviral uptake, and adherence among young men who have sex with men and young transgender women who have sex with men: Protocol for a randomized controlled trial",2018,"Journal of Medical Internet Research","10.2196/resprot.8811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047778432&doi=10.2196%2fresprot.8811&partnerID=40&md5=eb83b3a7aafede2b299a434cda4b9afb",Article,Scopus
"Mohamed W.M.W., Shuib A.","Optimisation model based dashboard for managing airport aeronautical revenues",2018,"Journal of Mechanical Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052570862&partnerID=40&md5=7d7a1bf518ba9d11c2aeeef8bda8f3c2",Article,Scopus
"Jivet I., Scheffel M., Specht M., Drachsler H.","License to evaluate: Preparing learning analytics dashboards for educational practice",2018,"ACM International Conference Proceeding Series","10.1145/3170358.3170421","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045910955&doi=10.1145%2f3170358.3170421&partnerID=40&md5=f74d0c71750252e72c17a38c5dc42ad8",Conference Paper,Scopus
"Orlando T.M., Sunindyo W.D.","Designing dashboard visualization for heterogeneous stakeholders (case study: ITB central library)",2018,"Proceedings of 2017 International Conference on Data and Software Engineering, ICoDSE 2017","10.1109/ICODSE.2017.8285872","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050581014&doi=10.1109%2fICODSE.2017.8285872&partnerID=40&md5=bb65a89879d8b8f2bd7a419322d1c4ff",Conference Paper,Scopus
"Kumar M., Nagar M.","Big data analytics in agriculture and distribution channel",2018,"Proceedings of the International Conference on Computing Methodologies and Communication, ICCMC 2017","10.1109/ICCMC.2017.8282714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047481384&doi=10.1109%2fICCMC.2017.8282714&partnerID=40&md5=57c5965406ee660258d4cbf43868080c",Conference Paper,Scopus
"Laktabai J., Platt A., Menya D., Turner E.L., Aswa D., Kinoti S., Prudhomme O’Meara W.","A mobile health technology platform for quality assurance and quality improvement of malaria diagnosis by community health workers",2018,"PLoS ONE","10.1371/journal.pone.0191968","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041328897&doi=10.1371%2fjournal.pone.0191968&partnerID=40&md5=74431e041c6a1624e9ba2efcca3e061e",Article,Scopus
"Chin G., Fitzhenry E., McBain A., Beus S., Marinovici L., Hansen J., Studarus K.","Visual steering and modeling environment for smart grid models and simulations",2018,"IEEE Power and Energy Society General Meeting","10.1109/PESGM.2017.8274093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046366892&doi=10.1109%2fPESGM.2017.8274093&partnerID=40&md5=dfb8c2d4a3f4261d5fcdb90a9f82cef2",Conference Paper,Scopus
