"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Building a User Friendly Service Dashboard: Automatic and Non-intrusive Chaining between Widgets","N. Laga; E. Bertin; N. Crespi","NA; NA; NA","2009 Congress on Services - I","","2009","","","484","491","End-users self service and end-users as co-developers are two main characteristics of Web 2.0 paradigm. They will harness the great potential of the Internet of services. However, today's service exposure tools and service composition tools are too complex to be used by ordinary end-users. They are based on technologies such as REST, WSDL, and SOAP which are hardly understandable by the end-user. In this paper, we propose a widget based service exposure and service creation tool. Our framework creates links between loaded widgets automatically; additional functionalities are thus added automatically to existing widgets as long as the end-user loads other widgets to his personal environment; in the same way as he launches an application on his Windows environment. This mechanism is definitely more intuitive than SOA technologies as it is based on the user interface.","2378-3818","978-0-7695-3708","10.1109/SERVICES-I.2009.62","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5190635","Web 2.0;widgets;service composition;service dashboard","Telecommunications;Service oriented architecture;User interfaces;Web and internet services;Simple object access protocol;Application software;Software reusability;Research and development;Software packages;Packaging","human computer interaction;software architecture;user interfaces;Web services","user friendly service dashboard;widget-based service;end-user self service;Web 2.0;Internet-of-service;Windows environment;SOA technology;user interface","","4","","24","","","","","","IEEE","IEEE Conferences"
"Hospital occupation rate analysis of the Brazilian federal university hospitals through business intelligence","C. A. M. Noce; G. D. A. Nze; L. M. Brasil","Programa de P&#x00F3;s-Gradua&#x00E7;&#x00E3;o em Engenharia Biom&#x00E9;dica / PPGEB, Faculdade Gama-FGA, Faculdade de Tecnologia-FT, Universidade de Bras&#x00ED;lia-UnB, Bras&#x00ED;lia-DF, Brasil; Programa de P&#x00F3;s-Gradua&#x00E7;&#x00E3;o em Engenharia Biom&#x00E9;dica / PPGEB, Faculdade Gama-FGA, Faculdade de Tecnologia-FT, Universidade de Bras&#x00ED;lia-UnB, Bras&#x00ED;lia-DF, Brasil; Programa de P&#x00F3;s-Gradua&#x00E7;&#x00E3;o em Engenharia Biom&#x00E9;dica / PPGEB, Faculdade Gama-FGA, Faculdade de Tecnologia-FT, Universidade de Bras&#x00ED;lia-UnB, Bras&#x00ED;lia-DF, Brasil","2017 12th Iberian Conference on Information Systems and Technologies (CISTI)","","2017","","","1","6","The hospital area is constantly in need of care and attention. Because of its urgencies, it has vulnerabilities and risks that hinder the quality of hospital management. Technological management tools are effective in improving processes and strategic administration because they provide information reliability. The aim of this work is to propose to the Brazilian Federal University Hospitals (FUH's) the use of an open source Business Intelligence (BI) tool, Pentaho, to analyze the Hospital Occupancy Rate (HOR) and support clinical decision making. This paper describes BI and Pentaho, as well as the main points of the E-EFI-01 efficiency documentation established by the National Agency of Supplementary Health (NASH), with emphasis on the hospital indicator Occupancy Rate. Through Pentaho, is made the data extraction and the transformation, as well as loading them into the Data Warehouse (DW), all based on a relational database of the Brazilian Hospital Services Company (BHSC). After that, dimensional cubes are created for the generation of graphic panels in dashboards. It can be seen that most BHSC hospitals are not yet adequately using their operational beds, being outside the goal established by NASH. Several steps are taken to achieve efficient hospital administration, but the joint working of Information and Communication Technology (ICT) solutions with the health area and its standards, provides a major step towards efficient hospital management.","","978-9-8998-4347-9978-1-5090-5047","10.23919/CISTI.2017.7975882","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7975882","ICT;hospital management;BI;BHSC;hospital indicators","Hospitals;Business intelligence;Silicon;Data warehouses;Tools;Information and communication technology;Monitoring","data warehouses;decision making;hospitals;medical administrative data processing;relational databases","ICT;operational beds;BHSC hospitals;Brazilian Hospital Services Company;relational database;data warehouse;data extraction;hospital indicator occupancy rate;NASH;National Agency of Supplementary Health;E-EFI-01 efficiency documentation;BI;clinical decision making;HOR;Pentaho;open source business intelligence tool;FUH;hospital management;Brazilian Federal University hospitals;hospital occupation rate analysis","","","","22","","","","","","IEEE","IEEE Conferences"
"Ontology-Driven Decision Support in Dynamic Supply-Chains","A. Nelson; D. Nyabuti; J. Collins; W. Ketter; M. Gini","NA; NA; NA; NA; NA","2009 IEEE Conference on Commerce and Enterprise Computing","","2009","","","129","136","We describe an approach to building a highly configurable, semi-autonomous agent that can support users playing a variety of roles in a supply-chain trading environment. The agent's decision processes are composed of networks of simple services that are described using OWL ontology. The ontology describes both the abstract data structures that are produced and consumed by individual services, as well as the business meaning of these data elements. This approach supports goal-directed composition of services in order to generate performance dashboards, as well as direct injection of user input at arbitrary points in the network.","2378-1963;2378-1971","978-0-7695-3755","10.1109/CEC.2009.79","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5210805","Decision Support;Supply Chains;Economic Dashboard;Ontology","Ontologies;Humans;Autonomous agents;Supply chain management;Information analysis;Computer science;Decision making;Management training;Companies;Resource description framework","data structures;decision support systems;knowledge representation languages;ontologies (artificial intelligence);software agents;supply chain management;supply chains;Web services","dynamic supply-chain;ontology-driven decision support system;semiautonomous agent;OWL ontology;abstract data structure;goal-directed service composition;Web service;software agent;supply chain management;goods transfer","","","","13","","","","","","IEEE","IEEE Conferences"
"Insights from the Design and Evaluation of a Personal Health Dashboard","A. Colley; K. Halttu; M. Harjumaa; H. Oinas-Kukkonen","NA; NA; NA; NA","2016 49th Hawaii International Conference on System Sciences (HICSS)","","2016","","","3483","3492","We present the design and user study based evaluation of a personal health dashboard aimed to supported reflective behavior change. Rather than providing direct actionable instructions, we target to present health data in such a way that the users infer their health status and create their own actions from the data itself. User interviews revealed a wide range of potential challenges with the adoption of personal health dashboards in general. Features that enabled a single view to health data from multiple sources and the comparison of trends in different parameters over the long term were highlighted as desirable. Our study provides data on an alternative approach to health data presentation and behavior change for researchers and designers working in the area.","1530-1605","978-0-7695-5670","10.1109/HICSS.2016.435","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7427619","wellness;health dashboard;behavior change;self reflection","Monitoring;Reflection;Prototypes;Market research;Biomedical monitoring;Data visualization;Medical services","health care;medical information systems","health data presentation;health status;reflective behavior change;user study based evaluation;personal health dashboard evaluation;personal health dashboard design","","1","","29","","","","","","IEEE","IEEE Conferences"
"Influencing behavior of electricity consumers to enhance participation in demand response","A. P. Ballenger; P. Herath; M. N. Cáceres; G. K. Venayagamoorthy; J. M. Corchado","Real-Time Power and Intelligent Systems Laboratory, Holcombe Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, 29634, USA; Real-Time Power and Intelligent Systems Laboratory, Holcombe Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, 29634, USA; University of Salamanca, c/Espejo, s/n, Salamanca 37007, Spain; Real-Time Power and Intelligent Systems Laboratory, Holcombe Department of Electrical and Computer Engineering, Clemson University, Clemson, SC, 29634, USA; University of Salamanca, c/Espejo, s/n, Salamanca 37007, Spain","2017 North American Power Symposium (NAPS)","","2017","","","1","6","Demand response (DR) provides an opportunity for consumers to change their electricity usage during peak periods by applying time-based rates or other forms of financial incentives. Currently the majority of DR resources are based on commercial loads in which substantial amounts of DR resources for residential purposes are wasted. Despite the multiple advantages of demand response to such residential customers, they are often reluctant to participate in such programs because of privacy concerns or because they are unaware of time-based rates. In this study, a customer dashboard was developed to enhance and persuade customers to participate in demand response programs. The online dashboard was used to increase awareness of all customer types, which is essential for ensuring a significant increase of DR participants. Incorporating flexibility, ease-of-use, and rewards programs will attract customers to use the dashboard thus expanding customer awareness to consciously or subconsciously change energy consumption behaviors. Making such cultural changes in customer behaviors leads to a long term solution for participation in demand response programs. With enhanced DR participation a sustainable power system operation and environment can be realized.","","978-1-5386-2699-3978-1-5386-2698-6978-1-5386-2700","10.1109/NAPS.2017.8107300","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8107300","customer behavior;demand response management;participation;positive influence;visualization","Load management;Schedules;Pricing;Load flow control;Home appliances;Load modeling;Privacy","demand side management;energy consumption","residential customers;residential purposes;electricity usage;electricity consumers;demand response programs","","","","12","","","","","","IEEE","IEEE Conferences"
"Drive system assistance tool for meta-analysis of dimensioning and maintenance indicators","F. Ansari; R. A. Dewa; M. Fathi","Institute of Knowledge Based Systems &amp; Knowledge Management, Department of Electrical Engineering &amp; Computer Science, University of Siegen, D-57068, Germany; Institute of Knowledge Based Systems &amp; Knowledge Management, Department of Electrical Engineering &amp; Computer Science, University of Siegen, D-57068, Germany; Institute of Knowledge Based Systems &amp; Knowledge Management, Department of Electrical Engineering &amp; Computer Science, University of Siegen, D-57068, Germany","IECON 2012 - 38th Annual Conference on IEEE Industrial Electronics Society","","2012","","","3113","3119","This paper discusses design, development and prototyping of a drive designer assistance tool: MainDriveASSIST. The prototype consists of features that enable drive engineer in selection of drive system components based on meta-analysis of vendors' offers as well as customer's requirements. Meta-analysis is performed through by using benchmarking dashboard comprises technical and non-technical indicators for selection of drive system components. The benchmarking dashboard broadens and deepens drive engineer's knowledge for optimal selection of drive components and improves decision-making activities. Technical indicators are mainly acquired from dimensioning of the drive system (drive system specifications) as well as the basic requirements e.g. for power consumption and operational availability (maintenance related factors). Non-technical indicators are mainly to consider business administration activities especially through indication of investment and preventive/corrective maintenance costs of drive systems which are directly affect customer's/company's business process. The prototype of MainDriveASSIST is designed and developed within an industrial oriented project at the institute of Knowledge Based Systems and Knowledge Management.","1553-572X;1553-572X","978-1-4673-2421-2978-1-4673-2419-9978-1-4673-2420","10.1109/IECON.2012.6389401","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6389401","","Benchmark testing;Torque;Unified modeling language;Service robots;Topology;Robustness","decision making;driver information systems;knowledge based systems;knowledge management","drive system assistance tool;meta-analysis;dimensioning indicators;maintenance indicators;drive designer assistance tool;MainDriveASSIST;benchmarking dashboard;drive system components;drive engineer;decision-making activities;business administration activities;business process;knowledge based systems;knowledge management","","","","15","","","","","","IEEE","IEEE Conferences"
"DataScope: Interactive visual exploratory dashboards for large multidimensional data","G. Iyer; S. DuttaDuwarah; A. Sharma","Department of Biomedical Informatics, Emory University, Atlanta, GA; Department of Biomedical Informatics, Emory University, Atlanta, GA; Department of Biomedical Informatics, Emory University, Atlanta, GA","2017 IEEE Workshop on Visual Analytics in Healthcare (VAHC)","","2017","","","17","23","DataScope is a web-based tool for generating interactive visual dashboards on large scale multidimensional datasets. Users create these dashboards using a high-level declarative grammar, and use them to explore data and create cohorts for downstream analysis. We describe DataScope's architecture, design considerations and provide an overview of the system. We highlight some of DataScope's features that were useful in the case studies using datasets from cancer registries and co-clinical trials. In benchmarks DataScope is able to perform sub-second queries on data sizes ranging from thousand to million records.","","978-1-5386-3187-4978-1-5386-3188","10.1109/VAHC.2017.8387496","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8387496","Information visualization;Data exploration;Interactive data exploration","Data visualization;Tools;Libraries;Servers;Visualization;Filtering;Browsers","cancer;data analysis;data visualisation;grammars;interactive systems;Internet;medical administrative data processing;medical computing","downstream analysis;cancer registries;co-clinical trials;Interactive visual exploratory dashboards;multidimensional data;interactive visual dashboards;scale multidimensional datasets;high-level declarative grammar;DataScope","","","","22","","","","","","IEEE","IEEE Conferences"
"A personalization system for data visualization platforms","O. Belo; H. Correia; P. Rodrigues; R. Barros","ALGORITMI R&D Centre, University of Minho, 4710-057 Braga, Portugal; Portugal Telecom Inovação e Sistemas, SA, 3810-106 Aveiro, Portugal; ALGORITMI R&D Centre, University of Minho, 4710-057 Braga, Portugal; ALGORITMI R&D Centre, University of Minho, 4710-057 Braga, Portugal","2016 Sixth International Conference on Innovative Computing Technology (INTECH)","","2016","","","162","167","Today dashboards are a clear factor of differentiation for decision-makers, providing critical business indicators in useful time. They are very important data visualization mechanisms, simple to interpret, easy to deal, and fast on showing pertinent data. Dashboards provide means for reducing time of information analysis, disposing business indicators in quite understandable and attractive interface platforms - a ""simple and beautiful"" way to support business analysis. However, they use to be static software artifacts having not the ability to evolve, to adapt by themselves to new user needs, tendencies or preferences. In order to provide such abilities, we designed and implemented a personalization system for data visualization platforms. All system's services, ranging from data gathering to data profiling, were developed using a community of autonomous agents with the ability to act together using a private data cloud as a cooperative environment. In this paper we present how the system was conceived, its functional architecture and services, and how agents were implemented, especially the ones related to the personalization of business dashboards.","","978-1-5090-2000-3978-1-5090-2001","10.1109/INTECH.2016.7845024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7845024","Data Visualization;Multi-agent Systems;On-Line Analytical Processing;Usage Profiling;Adaptive Dashboards;JADE","Data visualization;Multi-agent systems;Decision making;Distance measurement;Companies","business data processing;cloud computing;data privacy;data visualisation;decision making","personalization system;data visualization platforms;decision-makers;critical business indicators;pertinent data;information analysis;business analysis;static software artifacts;data gathering;data profiling;autonomous agents;private data cloud;cooperative environment;business dashboards","","","","28","","","","","","IEEE","IEEE Conferences"
"An IoT-Based Data Collection Platform for Situational Awareness-Centric Microgrids","S. Amir Alavi; A. Rahimian; K. Mehran; J. Alaleddin Mehr Ardestani","Queen Mary University of London, School of Electronic Engineering and Computer Science, London, El 4NS, UK; Queen Mary University of London, School of Electronic Engineering and Computer Science, London, El 4NS, UK; Queen Mary University of London, School of Electronic Engineering and Computer Science, London, El 4NS, UK; Department of Electrical Engineering, Shahid Beheshti University, Tehran, Iran","2018 IEEE Canadian Conference on Electrical & Computer Engineering (CCECE)","","2018","","","1","4","This paper presents a data collection architecture for situational awareness (SA)-centric microgrids. A prototype has been developed which can provide enormous data collection capabilities from smart meters, in order to realise an adequate SA level in microgrids. A communication framework based on the publish-subscribe model is also proposed and implemented for the communication layer of the SA using the message queuing telemetry transport (MQTT) protocol over two different physical (PHY) layers (i.e., WiFi and GPRS). An Internet of things (IoT) platform (i.e., Thingsboard) is used for the SA visualisation with a customised dashboard. It is shown by using the developed system, an adequate level of SA can be achieved with a minimum installation and hardware cost. Moreover, the Modbus protocol over the RS-485 is applied for the smart meter communication.","2576-7046","978-1-5386-2410-4978-1-5386-2409-8978-1-5386-2411","10.1109/CCECE.2018.8447718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8447718","Distributed computing and measurement;MQT-T;publish-subscribe model;situational awareness;smart grid","Protocols;Microgrids;Monitoring;Smart grids;Data collection;Smart meters;Publish-subscribe","distributed power generation;Internet of Things;message passing;middleware;power engineering computing;telemetry;transport protocols","IoT-based data collection platform;situational awareness-centric microgrids;data collection architecture;communication framework;communication layer;message queuing telemetry transport protocol;smart meter communication;RS-485;Modbus protocol;hardware cost;SA visualisation;MQTT protocol;publish-subscribe model;Internet of Things platform;physical layers;SA level","","","","19","","","","","","IEEE","IEEE Conferences"
"A practical student model for a location-aware and context-sensitive Personalized Adaptive Learning System","Guangbing Yang; Kinshuk; S. Graf","School of Computing and Information, Athabasca University, Canada; School of Computing and Information, Athabasca University, Canada; School of Computing and Information, Athabasca University, Canada","2010 International Conference on Technology for Education","","2010","","","130","133","Student model is an essential component in any adaptive learning environment. Various student modelling approaches have been suggested in the literature that focus on learners' competencies, preferences and other personal attributes. However, there is a lack of a comprehensive student model that combines various aspects of student modelling while also considering the aspects of location and context awareness that are important for emerging ubiquitous learning environments. This paper proposes one such student model in the context of a personalized adaptive learning system, namely Personalized Adaptive Learning Dashboard (PALD), a compound student model bringing together various features of the overlay, fault, and stereotype models to provide a generic approach to modeling student with specific domain related knowledge.","","978-1-4244-7361-8978-1-4244-7362","10.1109/T4E.2010.5550048","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5550048","student model;personalization;adaptation;knowledge;student modeling","Context modeling;Adaptive systems;Learning systems;Adaptation model;Problem-solving;Context awareness;Content management;Environmental management;Knowledge management;Least squares approximation","computer aided instruction;mobile computing","practical student model;adaptive learning system;location awareness;context awareness;ubiquitous learning environments;personalized adaptive learning dashboard;domain related knowledge","","3","","16","","","","","","IEEE","IEEE Conferences"
"Visual steering and modeling environment for smart grid models and simulations","G. Chin; E. Fitzhenry; A. McBain; S. Beus; L. Marinovici; J. Hansen; K. Studarus","Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA; Pacific Northwest National Laboratory, Richland, Washington USA","2017 IEEE Power & Energy Society General Meeting","","2017","","","1","5","We are developing the Visual Steering and Modeling Environment (VSME) to enable the visual control and steering of smart grid simulations as well as the visualization of simulation behaviors, conditions, and results. Visual steering will allow planners and operators to visually adjust the parameters to a suite of coordinated and dynamic smart grid simulations and immediately see the effects in multi-perspective visualizations. A configurable dashboard connects and integrates parameters, simulations, data, and visualizations into a combined and coherent display.","1944-9933","978-1-5386-2212-4978-1-5386-2211-7978-1-5386-2213","10.1109/PESGM.2017.8274093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8274093","Power grid;smart grid;visualization;data visualization;power system simulation","Visualization;Geospatial analysis;Calculators;Spirals;Smart grids;Heating systems","data visualisation;power system simulation;smart power grids","visual steering;coordinated smart grid simulation;configurable dashboard;combined coherent display;multiperspective visualizations;dynamic smart grid simulations;simulation behaviors;visual control;smart grid models;modeling environment","","","","10","","","","","","IEEE","IEEE Conferences"
"Executive Dashboard as a Tool for Knowledge Discovery","N. Karna","NA","2017 International Conference on Soft Computing, Intelligent System and Information Technology (ICSIIT)","","2017","","","331","336","Every enterprise provides business processes to ensure information is delivered to the senior leaders, either automatically by system or by manual process. When this delivery is done by system, information is usually provided through an executive dashboard. Using executive dashboard, senior leaders can view company's vital information that related to business goal and make a quick decision based on this information. An executive dashboard is the tool to provide such information, however it usually designed with no flexibility so when there is a change in the information report, they will need to call the developer to change it. This research is aimed to design and implement an executive dashboard that provides flexibility, which can be configured by anyone without programming background. This research also pro-poses a mechanism on how to create an executive dashboard that supports a knowledge discovery capability.","","978-1-4673-9899-2978-1-4673-9900","10.1109/ICSIIT.2017.10","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8262591","flexible executive dashboard;knowledge disco-very;layering information retrieval;information extraction","Business;Knowledge discovery;Software;Tools;Data mining;Prediction algorithms;Filtering","business data processing;data mining","executive dashboard;senior leaders;information report;Knowledge Discovery;enterprise;business processes;business goal","","","","19","","","","","","IEEE","IEEE Conferences"
"SQA-Profiles: Rule-based activity profiles for Continuous Integration environments","M. Brandtner; S. C. Müller; P. Leitner; H. C. Gall","University of Zurich, Department of Informatics, Switzerland; University of Zurich, Department of Informatics, Switzerland; University of Zurich, Department of Informatics, Switzerland; University of Zurich, Department of Informatics, Switzerland","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","","2015","","","301","310","Continuous Integration (CI) environments cope with the repeated integration of source code changes and provide rapid feedback about the status of a software project. However, as the integration cycles become shorter, the amount of data increases, and the effort to find information in CI environments becomes substantial. In modern CI environments, the selection of measurements (e.g., build status, quality metrics) listed in a dashboard does only change with the intervention of a stakeholder (e.g., a project manager). In this paper, we want to address the shortcoming of static views with so-called Software Quality Assessment (SQA) profiles. SQA-Profiles are defined as rule-sets and enable a dynamic composition of CI dashboards based on stakeholder activities in tools of a CI environment (e.g., version control system). We present a set of SQA-Profiles for project management committee (PMC) members: Bandleader, Integrator, Gatekeeper, and Onlooker. For this, we mined the commit and issue management activities of PMC members from 20 Apache projects. We implemented a framework to evaluate the performance of our rule-based SQA-Profiles in comparison to a machine learning approach. The results showed that project-independent SQA-Profiles can be used to automatically extract the profiles of PMC members with a precision of 0.92 and a recall of 0.78.","1534-5351","978-1-4799-8469","10.1109/SANER.2015.7081840","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7081840","","Data mining;Software;Logic gates;Electronic mail;Control systems;Project management;Communities","knowledge based systems;software quality;source code (software)","SQA profile;software quality assessment;rule-based activity profile;continuous integration environment;CI;source code change;software project","","4","","24","","","","","","IEEE","IEEE Conferences"
"Measurement-driven dashboards enable leading indicators for requirements and design of large-scale systems","R. W. Selby","Northrop Grumman Space Technol., Redondo Beach, CA, USA","11th IEEE International Software Metrics Symposium (METRICS'05)","","2005","","","10 pp.","22","Measurement-driven dashboards provide a unifying mechanism for understanding, evaluating, and predicting the development, management, and economics of large-scale systems and processes. Dashboards enable interactive graphical displays of complex information and support flexible analytic capabilities for user customizability and extensibility. Dashboards commonly include software requirements and design metrics because they provide leading indicators for project size, growth, and stability. This paper focuses on dashboards that have been used on actual large-scale projects as well as example empirical relationships revealed by the dashboards. The empirical results focus on leading indicators for requirements and design of large-scale systems. In the first set of 14 projects focusing on requirements metrics, the ratio of software requirements to source-lines-of code averaged 1:46. Projects that far exceeded the 1:46 requirements-to-code ratio tended to be more effort-intensive and fault-prone during verification. In the second set of 16 projects focusing on design metrics, the components in the top quartile of the number of component internal states had 6.2 times more faults on average than did the components in the bottom quartile, after normalization by size. The components in the top quartile of the number of component interactions had 4.3 times more faults on average than did the components in the bottom quartile, after normalization by size. When the number of component internal states was in the bottom quartile, the component fault-proneness was low even when the number of component interactions was in the upper quartiles, regardless of size normalization. Measurement-driven dashboards reveal insights that increase visibility into large-scale systems and provide feedback to organizations and projects","1530-1435","0-7695-2371","10.1109/METRICS.2005.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1509300","","Large-scale systems;Displays;Project management;Space technology;Information analysis;Feedback;Data analysis;Extraterrestrial measurements;Technology management;Economic forecasting","formal specification;formal verification;large-scale systems;object-oriented programming;software metrics;visual programming","measurement-driven dashboards;system requirements;system design;large-scale systems;system understanding;system evaluation;system development;system management;system economics;interactive graphical display;software requirements;design metrics;system verification;component interaction","","1","","27","","","","","","IEEE","IEEE Conferences"
"Device Cloud platform with customizable Remote User Interfaces","S. Radovanović; B. Majstorović; S. Kukolj; M. Z. Bjelica","RT-RK Institute for Computer Based Systems, Novi Sad, Serbia; RT-RK Institute for Computer Based Systems, Novi Sad, Serbia; RT-RK Institute for Computer Based Systems, Novi Sad, Serbia; Faculty of technical Sciences, University of Novi Sad), Serbia","2014 IEEE Fourth International Conference on Consumer Electronics Berlin (ICCE-Berlin)","","2014","","","202","204","In this paper a concept and implementation of a Device Cloud with customizable generation of remote user interfaces is presented. The proposed solution allows adapting device dashboards in frontend applications connected to the Device Cloud, through a model-based approach in Internet of Things. Some of the main contributions to the state-of-the-art are customizable Remote User Interfaces through the TR-069 communication protocol with low communication overhead and advanced configuration and monitoring features such as problem solution mechanism and cross-device analytics.","2166-6814;2166-6822","978-1-4799-6165","10.1109/ICCE-Berlin.2014.7034231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7034231","internet of things;device cloud;remote user interface;device dashboard;TR-069","Data models;User interfaces;Cloud computing;Protocols;Internet of things;Security","cloud computing;Internet of Things;protocols;user interfaces","device cloud platform;customizable remote user interfaces;device dashboards;Internet of Things;TR-069 communication protocol;low communication overhead;problem solution mechanism;cross-device analytics","","","","9","","","","","","IEEE","IEEE Conferences"
"How Teachers Make Dashboard Information Actionable","I. Molenaar; C. Knoop-van Campen","behavioural science institute, Radboud University, nijmegen, gelderland Netherlands (e-mail: i.molenaar@pwo.ru.nl); behavioural science institute, Radboud University, nijmegen, gelderland Netherlands (e-mail: c.knoop-vancampen@bsi.ru.nl)","IEEE Transactions on Learning Technologies","","2018","PP","99","1","1","This study investigates how teachers use dashboards in primary school classrooms. While learners practice on a tablet real-time data indicating learner progress and performance is displayed on teacher dashboards. This study examines how teachers use the dashboards, applying Verberts&#x0027; learning analytics process model. Teacher dashboard consultations and resulting pedagogical actions were observed in 38 mathematics lessons. In stimulated recall interviews, the 38 teachers were asked to elaborate on how they reflect on and make sense of the information on the dashboard. The results showed that teachers consulted the dashboard on average 8.3 times per lesson. Teachers activated existing knowledge about students and the class to interpret dashboard information. Task and process feedback were the pedagogical actions most often used following dashboard consultation. Additionally, teachers who consulted the dashboard more often activated more and more diverse pedagogical knowledge to interpret the data and, consequently, gave more and more diverse feedback. These results indicated that teacher dashboards were indeed influencing teachers&#x0027; pedagogical actions in their daily classroom activities. This study provided the first evidence that dashboards progressively impact teaching practice and initiate more profound behavioral changes as teachers become more proficient in using them.","1939-1382;2372-0050","","10.1109/TLT.2018.2851585","Kennisnet; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8400475","Adaptive learning technologies;learning analytics;dashboards;technology enhanced learning","Analytical models;Education;Instruments;Reflection;Mathematics;Real-time systems;Task analysis","","","","","","","","","","","","IEEE","IEEE Early Access Articles"
"A Framework for Descriptive Models Quality Assessment","D. Ernadote","Airbus Defence and Space","2018 IEEE International Systems Engineering Symposium (ISSE)","","2018","","","1","7","Numerous systems engineering projects use descriptive models structured by standard metamodels such as SysML, UML, or NAF. Model-based systems engineering is now so well established in the world of systems engineering that there is no longer questions about the usefulness of such modeling activities. However, it is still difficult to determine what is the current level of quality and how far the models are from the expected project objectives. This paper proposes a framework which reduces the pain of elaborating a quality process aside of the main systems engineering tasks so that a project manager can quickly be aware of the modeling progress statuses. The proposed framework is based on a modeling method which is itself modeled so that to allow a predefined set of modeling artefacts self-learning the quality aspects, and generating the appropriate dashboards at different levels of details.","","978-1-5386-4446-1978-1-5386-4447","10.1109/SysEng.2018.8544381","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8544381","Model Quality Assessment;MBSE;Model-Based Systems Engineering;Systems Engineering;Operations Research","Unified modeling language;Mathematical model;Quality assessment;Standards;Data models","description logic;project management;systems engineering;Unified Modeling Language","modeling activities;expected project objectives;quality process;project manager;quality aspects;descriptive models quality assessment;numerous systems engineering projects;standard metamodels;model-based systems engineering;longer questions;SysML;UML;NAF;artefacts self-learning;progress statuses","","","","18","","","","","","IEEE","IEEE Conferences"
"Workplace learning analytics in higher engineering education","E. van der Stappen","Institute for ICT, HU University of Applied Sciences Utrecht, Utrecht, the Netherlands","2018 IEEE Global Engineering Education Conference (EDUCON)","","2018","","","15","20","Learning in the workplace is crucial in higher engineering education, since it allows students to transfer knowledge and skills from university to professional engineering practice. Learning analytics endeavors in higher education have primarily focused on classroom-based learning. Recently, workplace learning analytics has become an emergent research area, with target users being workers, students and trainers. We propose technology for workplace learning analytics that allows program managers of higher engineering education programs to get insight into the workplace learning of their students, while ensuring privacy of students' personal data by design. Using a design-based agile methodology, we designed and developed a customizable workplace learning dashboard. From the evaluation with program managers in the computing domain, we can conclude that such technology is feasible and promising. The proposed technology was designed to be generalizable to other (engineering) domains. A next logical step would be to evaluate and improve the proposed technology within other engineering domains.","2165-9567","978-1-5386-2957-4978-1-5386-2958","10.1109/EDUCON.2018.8363102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363102","Workplace Learning;Learning Analytics;Data-Driven Curriculum Improvement","Hafnium;Engineering education;Conferences","computer aided instruction;educational institutions;engineering education;further education","professional engineering practice;workplace learning analytics;higher engineering education programs;customizable workplace learning dashboard;design-based agile methodology;student personal data privacy","","","","19","","","","","","IEEE","IEEE Conferences"
